chromosome,start,end,length,coverage,mid,name
8,16938,18337,1399,0.9992846924177397,17637,8_17637
8,34697,35825,1128,0.9804791481810116,35261,8_35261
8,85685,94478,8793,0.1825523202911738,90081,8_90081
8,116436,117282,846,0.901775147928994,116859,8_116859
8,133422,134033,611,0.9852459016393442,133727,8_133727
8,146647,147281,634,0.9984202211690363,146964,8_146964
8,201839,204006,2167,0.9995383194829178,202922,8_202922
8,289387,290325,938,0.9989327641408752,289856,8_289856
8,293161,294169,1008,0.9990069513406157,293665,8_293665
8,389259,389766,507,0.7213438735177866,389512,8_389512
8,464308,466729,2421,0.9929752066115702,465518,8_465518
8,529225,553675,24450,0.18916929117755327,541450,8_541450
9,26654,30438,3784,0.999735659529474,28546,9_28546
9,35476,36936,1460,0.9993145990404386,36206,9_36206
9,138579,139135,556,0.9981981981981982,138857,9_138857
9,196716,197360,644,0.7698289269051322,197038,9_197038
9,205243,210386,5143,0.5871256320497861,207814,9_207814
9,301863,303089,1226,0.9983673469387755,302476,9_302476
9,336725,338831,2106,0.9995249406175772,337778,9_337778
9,386201,389072,2871,0.9989547038327526,387636,9_387636
9,394175,396769,2594,0.9992286926340147,395472,9_395472
9,425044,434693,9649,0.900290215588723,429868,9_429868
9,10000,22619,12619,0.1704707560627675,16309,9_16309
10,29096,31323,2227,0.9991015274034142,30209,10_30209
10,59445,60323,878,0.9954389965792474,59884,10_59884
10,116186,116757,571,0.9982456140350877,116471,10_116471
10,197708,204758,7050,0.38118882110937724,201233,10_201233
10,354365,355524,1159,0.7158894645941278,354944,10_354944
10,415311,416984,1673,0.9994019138755981,416147,10_416147
10,472207,483312,11105,0.0457492795389049,477759,10_477759
10,539766,541169,1403,0.9978601997146933,540467,10_540467
10,577138,578378,1240,0.9943502824858758,577758,10_577758
10,606148,607748,1600,0.9993746091307066,606948,10_606948
10,710207,711755,1548,0.9993535875888817,710981,10_710981
10,716240,717080,840,0.99880810488677,716660,10_716660
10,718130,719166,1036,0.9990338164251208,718648,10_718648
10,721797,722315,518,0.9980657640232108,722056,10_722056
10,724400,725078,678,0.9985228951255539,724739,10_724739
10,10000,21457,11457,0.11243016759776536,15728,10_15728
10,728771,735751,6980,0.036538185986531024,732261,10_732261
11,11726,14036,2310,0.9987007362494587,12881,11_12881
11,18984,21734,2750,0.9989086940705711,20359,11_20359
11,66785,67732,947,0.9989429175475687,67258,11_67258
11,136360,137276,916,0.9989071038251366,136818,11_136818
11,143398,143901,503,0.99800796812749,143649,11_143649
11,145878,146990,1112,0.9765976597659766,146434,11_146434
11,151466,152762,1296,0.9992277992277993,152114,11_152114
11,202303,202988,685,0.7076023391812866,202645,11_202645
11,230434,231457,1023,0.9990215264187867,230945,11_230945
11,302515,304614,2099,0.9990467111534795,303564,11_303564
11,313697,314243,546,0.9376146788990826,313970,11_313970
11,457554,458322,768,0.9973924380704041,457938,11_457938
11,490237,490804,567,0.9929328621908127,490520,11_490520
11,513678,514492,814,0.997539975399754,514085,11_514085
11,612765,615137,2372,0.9822859552931252,613951,11_613951
11,643232,645856,2624,0.9988562714449104,644544,11_644544
11,650365,652580,2215,0.9986449864498645,651472,11_651472
12,22339,22977,638,0.9968602825745683,22658,12_22658
12,28548,29126,578,0.9982668977469671,28837,12_28837
12,91935,93713,1778,0.9994372537985369,92824,12_92824
12,112115,115814,3699,0.9986479177934018,113964,12_113964
12,214996,220854,5858,0.03943998634113027,217925,12_217925
12,373567,374236,669,0.9625748502994012,373901,12_373901
12,390907,392984,2077,0.9990366088631984,391945,12_391945
12,448870,489906,41036,0.10654319483367856,469388,12_469388
12,593063,599349,6286,0.05473349244232299,596206,12_596206
12,651621,658123,6502,0.219350869097062,654872,12_654872
12,687795,688455,660,0.9984825493171472,688125,12_688125
12,792501,794966,2465,0.9995941558441559,793733,12_793733
12,818261,818768,507,0.9980237154150198,818514,12_818514
12,908418,909024,606,0.9983471074380166,908721,12_908721
12,941546,946640,5094,0.031415668564696644,944093,12_944093
12,976157,982194,6037,0.20212060967528164,979175,12_979175
12,10000,13990,3990,0.26096766106793684,11995,12_11995
12,1059076,1068177,9101,0.5983516483516483,1063626,12_1063626
13,121851,122651,800,0.9987484355444305,122251,13_122251
13,132149,132904,755,0.9986737400530504,132526,13_132526
13,184029,189604,5575,0.05776820954431288,186816,13_186816
13,196301,202055,5754,0.025899530679645403,199178,13_199178
13,259075,259737,662,0.9984871406959153,259406,13_259406
13,286944,287542,598,0.998324958123953,287243,13_287243
13,297287,298343,1056,0.9990521327014218,297815,13_297815
13,306320,306989,669,0.9985029940119761,306654,13_306654
13,309182,309708,526,0.9980952380952381,309445,13_309445
13,357453,362794,5341,0.13426966292134832,360123,13_360123
13,371062,379067,8005,0.28723138430784606,375064,13_375064
13,432050,434235,2185,0.9995421245421245,433142,13_433142
13,480731,482477,1746,0.9994269340974212,481604,13_481604
13,503055,504636,1581,0.9044303797468355,503845,13_503845
13,512315,513043,728,0.9986244841815681,512679,13_512679
13,599671,600769,1098,0.8140382862351869,600220,13_600220
14,96676,102559,5883,0.0499829989799388,99617,14_99617
14,301342,302163,821,0.998780487804878,301752,14_301752
14,335457,335991,534,0.99812382739212,335724,14_335724
14,355754,356682,928,0.9989212513484358,356218,14_356218
14,519385,525531,6146,0.2738812042310822,522458,14_522458
14,561112,567815,6703,0.21471202626081767,564463,14_564463
14,570259,573867,3608,0.48489049071250345,572063,14_572063
14,598168,602304,4136,0.5409915356711004,600236,14_600236
14,631713,632508,795,0.9143576826196473,632110,14_632110
14,724842,727711,2869,0.9334030683403068,726276,14_726276
14,744127,746369,2242,0.9933065595716198,745248,14_745248
14,763334,763963,629,0.9984076433121019,763648,14_763648
14,769876,779408,9532,0.048683244150666244,774642,14_774642
14,10000,15618,5618,0.25369414278084385,12809,14_12809
15,1240,3630,2390,0.8447048974466304,2435,15_2435
15,4812,5500,688,0.9970887918486172,5156,15_5156
15,11266,14646,3380,0.8899082568807339,12956,15_12956
15,16033,16753,720,0.9986091794158554,16393,15_16393
15,18329,18860,531,0.9981132075471698,18594,15_18594
15,21834,28099,6265,0.6184546615581098,24966,15_24966
15,32161,33884,1723,0.9994192799070848,33022,15_33022
15,35907,40236,4329,0.9997689463955638,38071,15_38071
15,117954,123279,5325,0.05916604057099925,120616,15_120616
15,226147,228063,1916,0.9989556135770234,227105,15_227105
15,347600,349039,1439,0.9993045897079277,348319,15_348319
15,354433,355152,719,0.9944289693593314,354792,15_354792
15,384920,386230,1310,0.998472116119175,385575,15_385575
15,436974,438406,1432,0.9986023759608665,437690,15_437690
15,461879,463938,2059,0.9985422740524781,462908,15_462908
15,480920,481474,554,0.9945750452079566,481197,15_481197
15,575381,577738,2357,0.12818336162988114,576559,15_576559
15,594739,600861,6122,0.06681914719817024,597800,15_597800
15,664215,665129,914,0.9178532311062432,664672,15_664672
15,672936,673852,916,0.9967213114754099,673394,15_673394
15,702150,709891,7741,0.29844961240310075,706020,15_706020
15,903374,904174,800,0.9987484355444305,903774,15_903774
15,931665,933151,1486,0.9986531986531987,932408,15_932408
15,968483,976512,8029,0.36136023916292975,972497,15_972497
15,978702,981178,2476,0.9543434343434344,979940,15_979940
15,1043600,1044696,1096,0.9990867579908675,1044148,15_1044148
15,1053501,1054714,1213,0.9991749174917491,1054107,15_1054107
15,1069262,1073667,4405,0.7043596730245232,1071464,15_1071464
15,1076906,1081291,4385,0.23357664233576642,1079098,15_1079098
16,17368,22387,5019,0.7666400956556397,19877,16_19877
16,28664,29559,895,0.9932885906040269,29111,16_29111
16,55937,62713,6776,0.14878228782287822,59325,16_59325
16,210527,211599,1072,0.9990662931839402,211063,16_211063
16,214588,215372,784,0.9987228607918263,214980,16_214980
16,436325,444026,7701,0.2558441558441558,440175,16_440175
16,571878,572518,640,0.9968701095461658,572198,16_572198
16,586228,589636,3408,0.9997064866451424,587932,16_587932
16,621919,622997,1078,0.9990714948932219,622458,16_622458
16,700618,701613,995,0.17303822937625754,701115,16_701115
16,769553,770805,1252,0.9992006394884093,770179,16_770179
16,775810,778083,2273,0.9995598591549296,776946,16_776946
16,780801,781443,642,0.9984399375975039,781122,16_781122
16,804727,810344,5617,0.004273504273504274,807535,16_807535
16,828700,829236,536,0.9981308411214953,828968,16_828968
16,844653,856833,12180,0.06979226537482552,850743,16_850743
16,880706,882702,1996,0.9994987468671679,881704,16_881704
16,927437,930848,3411,0.9997067448680352,929142,16_929142
16,936259,937470,1211,0.9991735537190083,936864,16_936864
16,941636,942268,632,0.9984152139461173,941952,16_941952
16,10000,14905,4905,0.24898042414355628,12452,16_12452
