orf_name,replicate_1_PAS_nuc,replicate_2_PAS_nuc
YHR039C-A,187064,187163
YOL005C,315815,315815
YOR207C,729950,729954
YOR228C,766643,766831
YBL068W,93384,93384
YOR101W,516317,516317
YDR049W,555246,555247
YMR160W,577617,577470
YPL094C,369796,369796
YNL263C,146820,146820
YBR159W,559747,559905
YOL077W-A,185789,185777
YPR028W,624385,624355
YDR372C,1220888,1221000
YDL203C,95770,95770
YDR476C,1410335,1410335
YDR329C,1126282,1126303
YOR304W,888063,888063
YPR003C,561286,561286
YDR483W,1422520,1422520
YDR322C-A,1111782,1111767
YNL030W,577253,577253
YBR230W-A,680698,680774
YDR273W,1011448,1011448
YMR155W,570370,570345
YLR298C,724599,724744
YNL047C,539769,539769
YLR375W,872874,872882
YGL030W,439792,439790
YGR231C,952356,952356
YDL154W,180955,180955
YDL165W,164989,164989
YML014W,244160,244160
YLR237W,614353,614353
YER087W,332444,332444
YEL052W,58105,58105
YPL181W,205080,205094
YDR373W,1223514,1223514
YGL025C,448771,448771
YPL250C,74047,74047
YIL166C,30959,30959
YGL095C,328768,328922
YML065W,145058,145050
YML031W,216168,216168
YJL125C,185349,185349
YGR204C-A,909107,909107
YMR156C,570177,570177
YIR035C,421054,421054
YJL077W-B,294130,294130
YOL076W,189520,189579
YKL061W,326484,326484
YDR466W,1398101,1398101
YNL189W,286008,286008
YMR136W,542970,542970
YML093W,85899,85899
YIR028W,410358,410356
YJR057W,544753,544753
YHL026C,53178,53178
YBR203W,632174,632179
YOL027C,271835,271835
YBR149W,541110,541110
YJR045C,519483,519483
YPL152W,266217,266217
YER089C,335850,335844
YBR103W,449271,449274
YNL116W,409998,409998
YLR285C-A,708215,708215
YPL049C,462400,462401
YDL025C,405130,405130
YPR070W,687867,687867
YOR173W,658290,658289
YBR060C,360680,360675
YGL059W,393818,393946
YFL041W,51087,51106
YLR046C,238013,238013
YMR313C,899322,899259
YGR144W,781479,781479
YHR109W,332058,332070
YKL024C,392518,392518
YMR044W,356970,356962
YMR232W,738958,738958
YMR134W,538861,538861
YGL089C,344829,344829
YOR162C,639395,639395
YOR237W,783281,783277
YDR448W,1357622,1357625
YOR030W,388667,388667
YAR042W,196482,196482
YLL001W,150377,150377
YLR215C,570600,570600
YOR033C,392246,392345
YNL101W,437327,437327
YOL146W,49605,49605
YMR199W,664383,664383
YER187W,566844,566844
YML104C,58914,58914
YDR292C,1043038,1043038
YKL179C,110162,110155
YMR262W,794935,794926
YLR314C,762395,762393
YPL015C,525473,525473
YGR098C,682441,682312
YPR159C-A,860395,860393
YOR103C,516317,516317
YOR334W,946200,946200
YDR223W,913531,913531
YLR092W,326415,326415
YDL179W,139327,139327
YHR164C,424637,424612
YDR166C,786150,786150
YNL080C,476820,476836
YFL016C,104681,104682
YIL143C,80262,80262
YDR328C,1125220,1125220
YIL147C,69535,69527
YKL196C,74859,74859
YOR221C,756208,756208
YER118C,397845,397844
YDR027C,494632,494650
YMR038C,347370,347497
YJR148W,707005,707005
YMR184W,628881,628881
YIL070C,230227,230226
YMR230W-A,733541,733541
YBR168W,573722,573722
YER025W,207192,207192
YIL011W,334629,334629
YDR321W,1109969,1109968
YMR099C,463807,463807
YKR020W,478991,478982
YOR171C,651852,651852
YMR312W,899435,899435
YMR106C,478192,478225
YLR348C,826911,826913
YDR023W,490968,490968
YPL087W,384490,384490
YDR453C,1364991,1364991
YGR230W,952526,952526
YGR103W,697422,697326
YDR394W,1263110,1263110
YJR004C,442826,442827
YDR074W,596759,596759
YOR385W,1066297,1066283
YGR214W,921930,921903
YPL139C,289634,289648
YHR132W-A,370639,370639
YNR049C,712972,712972
YMR217W,703517,703492
YML095C,81182,81182
YFR055W,265281,265179
YML110C,49724,49724
YKR085C,598904,598904
YGL065C,379652,379652
YML055W,165311,165311
YBR182C-A,595316,595316
YOR093C,497410,497410
YMR213W,695093,695093
YMR120C,507287,507287
YKR006C,450411,450411
YLR288C,713350,713350
YLR222C,579277,579278
YOL086W-A,159624,159638
YLR238W,616253,616256
YPL166W,238047,238012
YPR141C,815564,815564
YDL200C,100344,100344
YEL020W-A,117578,117578
YIL152W,57355,57355
YOR129C,566760,566693
YDL102W,280344,280344
YOR047C,416200,416200
YCR016W,144695,144695
YGR132C,755439,755439
YKL104C,242961,242959
YLR048W,243568,243568
YJL043W,360963,360963
YGL120C,281551,281527
YHR163W,424637,424612
YKL140W,182541,182550
YMR086W,442258,442258
YCR020W-B,155492,155492
YDL206W,92573,92573
YDL174C,145788,145788
YNL222W,229734,229734
YHL044W,14566,14566
YLR037C,222381,222381
YKL057C,330835,330882
YJR120W,647407,647407
YNL293W,82565,82565
YOR328W,936735,936711
YPR163C,868543,868543
YOR322C,918479,918509
YKR078W,586687,586687
YOR284W,849391,849398
YNR066C,753808,753808
YAL055W,42721,42721
YMR030W,332146,332146
YLR425W,986850,986850
YCR035C,191641,191756
YNL325C,28744,28739
YOR117W,546410,546410
YHR031C,170739,170739
YGR016W,523059,523059
YNL052W,532500,532499
YKL127W,205395,205399
YER137C,441287,441287
YGR174W-A,846726,846719
YFL039C,53138,53108
YDR517W,1478488,1478489
YER111C,382472,382506
YMR080C,426361,426362
YJR136C,677314,677314
YLR274W,694111,694111
YLR182W,520393,520566
YER021W,198563,198567
YIL068C,232996,232996
YKL137W,186452,186452
YBR196C,612133,612102
YKL078W,291121,291120
YDR309C,1078695,1078695
YDL084W,306696,306696
YER074W-A,308138,308137
YGL073W,371372,371374
YDR246W-A,955383,955383
YMR098C,460795,460795
YDL108W,268733,268733
YLR281C,704110,704110
YJL174W,96175,96177
YBL044W,136376,136362
YJL085W,274864,274864
YER046W,243697,243707
YGL043W,418619,418628
YPL006W,548233,548238
YHR054C,213185,213185
YOR289W,854253,854253
YGL235W,55754,55754
YPL224C,126516,126381
YBR082C,406496,406496
YPR094W,721039,721039
YOR080W,477007,477012
YBR263W,737796,737795
YNL311C,49298,49298
YDR132C,718731,718731
YMR279C,824746,824746
YKL069W,307983,307983
YOR040W,408213,408213
YNL108C,418824,418824
YOL108C,111177,111176
YNR022C,669661,669661
YER154W,476229,476357
YDR085C,614248,614248
YNR032W,687289,687289
YKR068C,570190,570202
YGR197C,892497,892497
YPL127C,308615,308615
YNL331C,16020,16185
YOL149W,45815,45815
YIL077C,214939,214926
YNR024W,673155,673155
YJR060W,549990,549946
YGL079W,360114,360173
YPR106W,741459,741459
YDL222C,60947,60940
YLR071C,275147,275218
YML038C,202486,202486
YDR489W,1432042,1432042
YGR232W,954663,954663
YGL140C,241137,241137
YNL289W,88964,88807
YGR006W,506739,506739
YBL097W,43316,43316
YMR174C,609948,609948
YJR019C,467289,467291
YBR161W,562978,562978
YOR337W,956818,956874
YGL129C,267628,267628
YER029C,212419,212419
YDR080W,607191,607191
YOR352W,998237,998267
YJL143W,147737,147772
YGL146C,228583,228583
YIL114C,149148,149147
YLR117C,382276,382276
YIR024C,402771,402771
YFR015C,174193,174193
YDL119C,246649,246725
YML096W,81592,81587
YBR006W,248546,248559
YMR268C,802621,802621
YPR007C,569404,569394
YGR275W,1043861,1043862
YLR228C,599755,599755
YNL246W,186693,186693
YGR010W,512904,512903
YJR097W,613088,613088
YBR084C-A,413984,413984
YOL012C,303414,303414
YHL040C,18796,18796
YAL008W,137684,137682
YLR240W,620191,620198
YOR193W,711715,711722
YLR176C,507698,507698
YJL016W,407450,407450
YIR027C,406211,406211
YGR086C,649298,649299
YOL038C-A,254753,254753
YGL116W,291684,291682
YLR139C,421270,421308
YOR081C,476831,476830
YLL051C,37073,37071
YKL178C,112954,112954
YDR017C,479027,479027
YER126C,413140,413140
YBR077C,391626,391626
YPL023C,504225,504225
YDL161W,169237,169237
YPL005W,550464,550478
YKL070W,306705,306705
YHR047C,198609,198619
YLR081W,291905,291905
YDR130C,715676,715676
YDR142C,740455,740455
YOR157C,630882,630881
YDL017W,425893,425924
YOL162W,10725,10725
YFL010W-A,115198,115198
YDR457W,1379650,1379650
YDR191W,843609,843609
YKL032C,379963,379922
YBL092W,46604,46610
YER026C,207516,207516
YBR104W,450731,450731
YML011C,246754,246754
YJL079C,289716,289719
YEL053C,53883,53883
YDR090C,624674,624811
YMR052W,380408,380399
YOR307C,892717,892534
YDR367W,1213607,1213627
YDL148C,187910,187910
YDR182W,829208,829208
YBR041W,320481,320481
YML107C,55139,55139
YDL216C,68975,68975
YDR337W,1147200,1147200
YOR209C,736343,736180
YAR050W,208018,208021
YOL041C,251232,251228
YMR197C,658380,658333
YBR001C,238851,238851
YJL060W,324720,324720
YLL023C,97882,97882
YDL105W,273703,273703
YHR055C,214294,214271
YDR099W,654736,654740
YDR376W,1228290,1228290
YLR376C,872677,872677
YBL093C,44129,44129
YBR049C,334087,334087
YHR032W,175016,175016
YER101C,360468,360468
YJL139C,151537,151537
YDR387C,1248046,1247931
YMR308C,888903,888903
YDL178W,141235,141235
YML007W,255995,255995
YPL264C,43301,43277
YLR168C,499597,499606
YER066W,291026,291026
YIR015W,382401,382401
YGR038W,561545,561545
YPR139C,813018,813018
YDR169C-A,794503,794503
YLR413W,953352,953424
YLR325C,780960,780904
YKL099C,255731,255723
YBL079W,79795,79795
YLR039C,225324,225334
YNL039W,556796,556796
YNL159C,338207,338207
YKL065W-A,316409,316409
YOL130W,77272,77272
YIL014W,328181,328179
YAL058W,38968,38968
YIL156W,51308,51256
YLR271W,683676,683669
YDL114W,256492,256513
YEL019C,120308,120299
YPL123C,317428,317431
YCL054W,34139,34170
YLR163C,491638,491644
YBR228W,676247,676247
YNR034W,691554,691554
YMR077C,421335,421357
YDR541C,1519421,1519421
YEL034W,86306,86269
YER019W,194377,194377
YJR154W,726811,726811
YOR191W,697471,697476
YHR102W,319887,319887
YOR246C,795730,795730
YDR492W,1435937,1435937
YGR258C,1007659,1007659
YKL007W,430307,430266
YBR214W,653078,653078
YOL006C,313014,312880
YLR272C,683535,683535
YLR398C,915132,915132
YFL054C,20696,20696
YMR018W,311652,311817
YNL175C,307247,307247
YBR002C,241674,241674
YHR030C,168738,168814
YER138W-A,449587,449603
YKL012W,420118,420118
YHR096C,294742,294724
YHR187W,481997,481984
YLR345W,822186,822221
YJL133C-A,159434,159434
YIL065C,241323,241142
YDR050C,555565,555565
YJR127C,658910,658910
YGR223C,940776,940773
YOL029C,269897,269897
YGL157W,210095,210095
YLR329W,787368,787368
YOL018C,290568,290556
YOL031C,266266,266114
YLR397C,912317,912317
YMR011W,289846,289846
YBR235W,690344,690347
YEL027W,101505,101505
YIL134W,98413,98413
YGL067W,377208,377208
YBR241C,702493,702493
YLR015W,176873,176873
YDR305C,1072620,1072620
YDL055C,355404,355415
YDL007W,439341,439341
YIL150C,60803,60803
YOR063W,445978,445982
YIL040W,278219,278214
YOR086C,483034,483034
YOR356W,1009332,1009332
YNL216W,244403,244403
YGR240C-A,974675,974675
YHR023W,157585,157585
YOL080C,180356,180356
YKL025C,390203,390203
YDR231C,926152,926152
YPL126W,313035,313033
YOR188W,689348,689348
YJL106W,223291,223290
YGL105W,308733,308611
YPL053C,457064,457050
YHR140W,381236,381276
YER093C,343200,343200
YKR042W,520896,520889
YGL009C,476057,476057
YOR184W,680624,680624
YPL199C,171928,171919
YGR096W,677707,677708
YPL270W,32928,32928
YML054C,165567,165559
YCR092C,276539,276529
YDR221W,909643,909643
YDR175C,813000,813011
YAL027W,95534,95534
YKR007W,452095,452095
YLR308W,748845,748811
YER180C-A,550773,550773
YGR168C,833265,833274
YDR176W,816513,816513
YOR260W,815810,815810
YDL204W,95770,95770
YDL173W,149229,149229
YEL064C,29716,29716
YOR308C,894358,894232
YOL011W,307783,307606
YCL001W-A,113516,113516
YER011W,176098,176266
YHR205W,512059,512059
YMR102C,469696,469696
YCR093W,286493,286492
YOR281C,846218,846216
YGR220C,935986,935981
YNL290W,87425,87351
YOR355W,1006868,1006868
YDR062W,578347,578529
YCR017C,144545,144545
YMR186W,634628,634630
YLR219W,576552,576552
YBR185C,598967,598911
YOL024W,277547,277562
YHR105W,325368,325368
YPL209C,156474,156473
YAL048C,52588,52588
YDR487C,1428355,1428355
YBL033C,158430,158430
YNL305C,58783,58783
YLR380W,879478,879477
YML083C,99700,99699
YOR283W,848231,848232
YNL125C,390125,390125
YMR318C,910943,910920
YPR189W,917134,917149
YML123C,23990,23912
YNL191W,281543,281543
YKL107W,237054,237052
YBR269C,741943,741918
YCR051W,214773,214773
YKL049C,345948,345948
YBL071W-A,90495,90495
YOR340C,959069,959069
YNR063W,748772,748772
YBR039W,316678,316639
YDL193W,115965,115930
YBL087C,59707,59783
YGR113W,720150,720145
YBR083W,410718,410712
YGL236C,53839,53839
YOR031W,389425,389425
YMR065W,401310,401319
YAL010C,134066,134066
YLR410W,941098,941098
YER014W,184236,184236
YDR003W-A,454959,454959
YDR459C,1382069,1382070
YDR233C,929309,929319
YIR023W,402771,402771
YMR012W,295031,295041
YGL172W,182114,182114
YML094W,82981,82981
YNR004W,636545,636545
YIL142W,84843,84843
YEL025C,102232,102232
YLR096W,336243,336243
YOR294W,869163,869163
YDL098C,284438,284438
YEL009C,138789,138725
YBL078C,80366,80379
YHR175W-A,453742,453742
YIL087C,199586,199586
YGR209C,912910,912910
YJL053W,337191,337181
YDL160C-A,169046,169046
YMR299C,864337,864337
YDR264C,995891,995905
YNL146C-A,351275,351275
YGR237C,963206,963206
YGR090W,666075,666075
YMR116C,499355,499355
YLR436C,1007389,1007389
YIR017C,383375,383269
YBR043C,321855,321855
YHL017W,72062,72062
YMR026C,324216,324217
YDR034W-B,521731,521727
YLL021W,105355,105357
YIL146C,74244,74250
YLL055W,31763,31769
YDL166C,163415,163415
YFR036W,227420,227420
YGL066W,379872,379862
YOR386W,1068805,1068803
YIL043C,274061,274061
YKL188C,86072,86072
YMR194W,652026,652028
YNL206C,256655,256796
YAL016W,126829,126825
YNL182C,295975,295975
YDL225W,54225,54225
YOL026C,274008,274008
YFR030W,216388,216388
YDR266C,999904,999904
YGR109C,705339,705339
YIL052C,256074,256088
YML109W,54521,54530
YKL028W,387192,387192
YPR010C-A,582298,582298
YPL100W,363387,363382
YLR241W,622937,622937
YKR067W,570401,570401
YPL003W,553442,553324
YLR193C,539897,539901
YPL254W,70922,71041
YNL099C,438293,438293
YER128W,416786,416790
YLL035W,70654,70734
YKL096W-A,259716,259716
YMR162C,578724,578724
YFR041C,237204,237215
YDR313C,1089031,1089031
YNL202W,260473,260473
YGR089W,659843,659835
YFL017C,103843,103843
YOR273C,834254,834254
YGL106W,307291,307291
YDR415C,1296851,1297042
YDR194W-A,848585,848585
YJL001W,436108,436107
YLR017W,178655,178655
YOR025W,379727,379744
YGL113W,298186,298163
YPL097W,366555,366566
YFL021W,97459,97407
YLR116W,382385,382464
YPL184C,195856,195856
YIL002C,350478,350478
YGL084C,350579,350579
YDR088C,618306,618315
YPL040C,475951,475951
YCR097W,294352,294246
YOR008C,341073,341073
YBL069W,92149,92149
YBR112C,462696,462610
YPL119C,324297,324297
YLR248W,636209,636209
YDR252W,963787,963787
YHR190W,486241,486241
YDL169C,158046,158062
YKL175W,120425,120425
YDR235W,935203,935203
YPL117C,327773,327782
YMR023C,319366,319366
YGR084C,647109,647107
YER079W,319718,319718
YKL042W,359822,359822
YOR241W,788714,788718
YGR034W,556840,556827
YNL187W,289354,289354
YDR179C,818526,818526
YIL107C,163368,163369
YER040W,232225,232186
YOR011W,353880,353873
YCL017C,92625,92635
YPR022C,603814,603814
YJL206C,47689,47689
YPL071C,420023,420023
YER055C,264711,264711
YLR231C,605636,605636
YEL066W,27213,27213
YDR498C,1445825,1445825
YGL193C,141994,141994
YIL094C,186496,186490
YOR116C,539713,539713
YGR088W,656404,656404
YER060W-A,278200,278166
YDR247W,957727,957727
YML032C,212389,212406
YAL012W,131996,131997
YDR167W,790142,790142
YMR225C,720890,720890
YNL072W,491220,491220
YGR057C,604526,604526
YIL063C,242695,242714
YGL098W,318419,318426
