orf_name,gene,TSS,chr,strand,f_gene_index,replication_timing,replication_H_index,expression_at_replication,replication_direction
YAR028W,YAR028W,184837,1,+,72,41.18948474,172,9.487281136421085,right
YAR029W,YAR029W,186321,1,+,73,45.23118474,180,6.509640930626738,right
YAR031W,PRM9,186998,1,+,74,45.23118474,180,7.3409901276114615,left
YAR033W,MST28,188066,1,+,75,44.72598474,179,6.462764012634802,early_peak
YAR035W,YAT1,190193,1,+,76,46.74678474,183,8.346336602179749,right
YAR035C-A,YAR035C-A,192417,1,-,77,48.262484740000005,186,4.541609016773638,right
YAR042W,SWH1,192596,1,+,78,48.262484740000005,186,11.63791421194443,right
YBL107C,YBL107C,10552,2,-,79,43.71558474,177,10.305918847276857,right
YBL106C,SRO77,13947,2,-,80,44.72598474,179,10.043948809918678,right
YBL105C,PKC1,17967,2,-,81,45.736384740000005,181,12.228120809106837,right
YBL104C,YBL104C,21299,2,-,82,47.25208474,184,11.332301272873632,right
YBL103C,RTG3,23791,2,-,83,47.25208474,184,10.230853442458365,right
YBL102W,SFT2,24011,2,+,84,47.25208474,184,11.03319036946337,left
YBL098W,BNA4,39126,2,+,85,39.67388474,169,10.672888661652733,left
YBL097W,BRN1,40782,2,+,86,39.67388474,169,11.455004633237992,right
YBL095W,YBL095W,43277,2,+,87,39.67388474,169,10.226440877993918,right
YBL093C,ROX3,44999,2,-,88,39.67388474,169,10.53076545256603,left
YBL092W,RPL32,45583,2,+,89,38.66338474,167,17.2530249721717,early_peak
YBL091C-A,SCS22,47194,2,-,90,39.16868474,168,8.597494583077498,right
YBL091C,MAP2,48660,2,-,91,39.16868474,168,12.433472664921672,right
YBL090W,MRP21,48795,2,+,92,39.16868474,168,10.070347991234916,right
YBL089W,AVT5,49511,2,+,93,39.16868474,168,10.075007320967178,left
YBL088C,TEL1,59439,2,-,94,29.56958474,149,12.152133276914775,left
YBL087C,RPL23A,60763,2,-,95,29.56958474,149,14.348811090513795,right
YBL086C,YBL086C,62727,2,-,96,30.07478474,150,9.81211093642277,right
YBL085W,BOI1,63662,2,+,97,31.59048474,153,12.101093674268403,right
YBL084C,CDC27,69544,2,-,98,35.63218474,161,9.93412761828878,late_trough
YBL082C,ALG3,71410,2,-,99,34.62168474,159,12.128541283286445,left
YBL081W,YBL081W,71553,2,+,100,34.62168474,159,8.918542178027819,right
YBL080C,PET112,74779,2,-,101,36.64258474,163,9.612490308563853,right
YBL079W,NUP170,75207,2,+,102,38.15818474,166,13.026068129125232,right
YBL078C,ATG8,80814,2,-,103,39.16868474,168,7.771812115427761,right
YBL076C,ILS1,84270,2,-,104,40.68428474,171,15.773534377576373,late_trough
YBL075C,SSA3,86448,2,-,105,40.17908474,170,9.853225351415652,early_peak
YBL074C,AAR2,87804,2,-,106,43.71558474,177,9.25186357776136,right
YBL071C-B,YBL071C-B,89556,2,-,107,43.71558474,177,5.972934235995554,right
YBL071W-A,KTI11,89936,2,+,108,43.71558474,177,9.326077389745388,right
YBL069W,AST1,90670,2,+,109,43.71558474,177,11.05185737389798,right
YBL068W,PRS4,92366,2,+,110,44.72598474,179,11.048799195756922,right
YBL067C,UBP13,96170,2,-,111,45.23118474,180,11.91327076802754,right
YBL066C,SEF1,99054,2,-,112,48.262484740000005,186,10.447884639628576,right
YBL064C,PRX1,101225,2,-,113,49.77808474,189,10.198339670169787,right
YBL063W,KIP1,101887,2,+,114,49.77808474,189,10.618348777859232,right
YBL061C,SKT5,107511,2,-,115,52.30418474,194,12.07736623975633,right
YBL060W,YEL1,107871,2,+,116,52.30418474,194,10.012107393505586,right
YBL059C-A,CMC2,110562,2,-,117,52.30418474,194,9.366506255696617,right
YBL059W,YBL059W,110675,2,+,118,52.30418474,194,8.806722873710365,right
YBL058W,SHP1,111397,2,+,119,52.30418474,194,12.350160173549602,right
YBL057C,PTH2,113448,2,-,120,52.30418474,194,10.969450539335952,right
YBL056W,PTC3,113683,2,+,121,52.30418474,194,12.648859818195527,right
YBL055C,YBL055C,116816,2,-,122,52.80938474,195,10.531513903840555,late_trough
YBL054W,TOD6,117479,2,+,123,52.30418474,194,10.00995938201938,left
YBL052C,SAS3,122063,2,-,124,52.30418474,194,11.213592638376934,right
YBL051C,PIN4,124823,2,-,125,52.30418474,194,11.300061091577394,right
YBL050W,SEC17,125059,2,+,126,52.30418474,194,11.671027644178734,right
YBL049W,MOH1,126623,2,+,127,52.30418474,194,5.451322891607129,left
YBL047C,EDE1,132212,2,-,128,50.788584740000005,191,13.021944127129112,left
YBL046W,PSY4,132417,2,+,129,50.788584740000005,191,10.558503886611946,left
YBL045C,COR1,135641,2,-,130,48.262484740000005,186,12.659847885337687,left
YBL044W,YBL044W,135998,2,+,131,48.262484740000005,186,5.751720422653609,right
YBL043W,ECM13,136556,2,+,132,48.262484740000005,186,8.48343582676774,left
YBL042C,FUI1,140317,2,-,133,44.22078474,178,12.298206939651042,left
YBL041W,PRE7,141217,2,+,134,43.21038474,176,12.427027905824165,left
YBL040C,ERD2,142901,2,-,135,43.21038474,176,11.557675673488259,right
YBL039W-B,YBL039W-B,143109,2,+,136,44.22078474,178,7.527450564002568,right
YBL039C,URA7,145783,2,-,137,44.72598474,179,13.818706344881228,right
YBL038W,MRPL16,146131,2,+,138,44.72598474,179,10.930332561294842,right
YBL037W,APL3,147130,2,+,139,46.24158474,182,11.102501596465821,right
YBL036C,YBL036C,151270,2,-,140,48.76768474,187,11.78379937917498,right
YBL035C,POL12,153689,2,-,141,49.27288474,188,8.98180855218432,late_trough
YBL034C,STU1,158216,2,-,142,48.76768474,187,11.223361821880312,left
YBL026W,LSM2,170582,2,+,143,38.15818474,166,11.660065527168973,early_peak
YBL025W,RRN10,171414,2,+,144,38.66338474,167,8.65171637231513,right
YBL024W,NCL1,172529,2,+,145,38.66338474,167,12.969064681185774,right
YBL023C,MCM2,177612,2,-,146,41.69468474,173,9.716464427404233,right
YBL022C,PIM1,181395,2,-,147,41.69468474,173,13.618256131184705,right
YBL021C,HAP3,182142,2,-,148,41.69468474,173,9.266623658870026,right
YBL020W,RFT1,182320,2,+,149,41.69468474,173,11.122278288894304,left
YBL019W,APN2,184302,2,+,150,40.17908474,170,8.944082771652456,left
YBL018C,POP8,186516,2,-,151,37.14778474,164,10.184683687852658,left
YBL017C,PEP1,191765,2,-,152,34.116484740000004,158,13.585891778590181,left
YBL016W,FUS3,192429,2,+,153,34.116484740000004,158,11.366903250350914,left
YBL014C,RRN6,201778,2,-,154,30.07478474,150,11.070169624131257,left
YBL013W,FMT1,201991,2,+,155,30.07478474,150,7.766809341745011,right
YBL011W,SCT1,203438,2,+,156,34.116484740000004,158,12.207533901261463,right
YBL010C,YBL010C,206944,2,-,157,36.64258474,163,9.416073089251867,right
YBL009W,ALK2,207153,2,+,158,39.16868474,168,11.544052815568005,right
YBL008W-A,YBL008W-A,209409,2,+,159,39.67388474,169,5.261437346914297,right
YBL008W,HIR1,209653,2,+,160,39.67388474,169,11.165453347184966,right
YBL007C,SLA1,216366,2,-,161,40.68428474,171,13.360790005919727,late_trough
YBL006C,LDB7,217134,2,-,162,38.66338474,167,11.110211623698548,left
YBL005W,PDR3,217409,2,+,163,38.66338474,167,9.773688976264811,left
YBL004W,UTP20,227530,2,+,164,27.98208474,97,14.318536760749605,early_peak
YBL003C,HTA2,235828,2,-,165,28.55918474,147,15.288273688267136,right
YBL002W,HTB2,236470,2,+,166,28.55918474,147,15.898312465217606,right
YBL001C,ECM15,237529,2,-,167,28.55918474,147,11.444683702774553,right
YBR001C,NTH2,241432,2,-,168,28.55918474,147,10.84500525047419,right
YBR002C,RER2,242590,2,-,169,28.55918474,147,10.700663686477421,right
YBR003W,COQ1,242781,2,+,170,28.55918474,147,11.331302640722145,right
YBR004C,GPI18,245684,2,-,171,28.55918474,147,10.346838580399067,right
YBR005W,RCR1,245872,2,+,172,28.55918474,147,9.238963569164085,right
YBR006W,UGA2,246885,2,+,173,28.55918474,147,8.692297085648265,left
YBR007C,DSF2,251107,2,-,174,27.40488474,96,10.616284930965596,left
YBR008C,FLR1,254428,2,-,175,27.40488474,96,11.061492890605075,right
YBR014C,GRX7,267397,2,-,176,29.06438474,148,10.390518209323085,late_trough
YBR015C,MNN2,269503,2,-,177,28.55918474,147,13.038474213696311,left
YBR016W,YBR016W,270199,2,+,178,28.55918474,147,9.581234914544924,right
YBR017C,KAP104,273756,2,-,179,35.63218474,161,12.77140958466586,right
YBR018C,GAL7,275527,2,-,180,36.13738474,162,6.296687342211219,right
YBR019C,GAL10,278352,2,-,181,38.15818474,166,7.050359955394547,right
YBR020W,GAL1,279021,2,+,182,41.18948474,172,7.783254127702444,right
YBR021W,FUR4,281326,2,+,183,41.69468474,173,10.612219748255036,right
YBR022W,POA1,283677,2,+,184,41.69468474,173,9.284848521659471,right
YBR023C,CHS3,288075,2,-,185,44.72598474,179,13.421513968591755,right
YBR024W,SCO2,289354,2,+,186,45.23118474,180,9.23241318807889,right
YBR025C,OLA1,291887,2,-,187,45.736384740000005,181,14.965665188652435,right
YBR026C,ETR1,294041,2,-,188,47.75728474,185,11.338011810140083,right
YBR028C,YBR028C,296103,2,-,189,49.27288474,188,11.536377927050358,right
YBR029C,CDS1,297823,2,-,190,49.77808474,189,11.805054694365527,right
YBR030W,RKM3,298022,2,+,191,49.77808474,189,10.561270095504096,left
YBR033W,EDS1,301944,2,+,192,49.27288474,188,7.31941528677724,left
YBR034C,HMT1,305991,2,-,193,47.75728474,185,12.124878796494727,left
YBR035C,PDX3,306983,2,-,194,47.75728474,185,11.54492821510093,left
YBR036C,CSG2,310362,2,-,195,43.21038474,176,12.161760911332411,left
YBR039W,ATP3,315489,2,+,196,39.67388474,169,12.381307567366392,left
YBR040W,FIG1,316787,2,+,197,39.67388474,169,10.249377800578028,right
YBR041W,FAT1,318214,2,+,198,40.17908474,170,11.810919776316073,late_trough
YBR042C,CST26,321655,2,-,199,39.16868474,168,10.971136704715688,left
YBR043C,QDR3,324095,2,-,200,37.65298474,165,10.931035892850819,early_peak
YBR044C,TCM62,326143,2,-,201,38.15818474,166,10.548249521188975,right
YBR045C,GIP1,330092,2,-,202,39.16868474,168,8.44301196085361,right
YBR046C,ZTA1,331543,2,-,203,40.68428474,171,10.267666448069907,right
YBR047W,FMP23,331781,2,+,204,40.68428474,171,9.440532244934587,right
YBR048W,RPS11B,332814,2,+,205,40.68428474,171,15.022395448616336,right
YBR049C,REB1,336942,2,-,206,44.72598474,179,12.318498196792278,right
YBR050C,REG2,338377,2,-,207,46.74678474,183,7.446094318146895,right
YBR052C,RFS1,339417,2,-,208,48.262484740000005,186,10.917549021737575,right
YBR053C,YBR053C,340764,2,-,209,48.262484740000005,186,9.971306237477986,left
YBR054W,YRO2,342788,2,+,210,47.25208474,184,8.204237302311295,early_peak
YBR055C,PRP6,347326,2,-,211,50.788584740000005,191,11.264497004547811,right
YBR056W,YBR056W,347755,2,+,212,50.788584740000005,191,11.244916162305836,right
YBR057C,MUM2,353384,2,-,213,51.79898474,193,10.764713592293768,right
YBR058C,UBP14,356042,2,-,214,51.79898474,193,11.690227229759461,right
YBR058C-A,TSC3,356626,2,-,215,51.79898474,193,10.564206076418303,left
YBR059C,AKL1,360299,2,-,216,51.29378474,192,12.361973000926046,left
YBR060C,ORC2,362633,2,-,217,50.788584740000005,191,10.815057556133821,left
YBR061C,TRM7,365727,2,-,218,48.76768474,187,10.296111262698858,left
YBR062C,YBR062C,366632,2,-,219,48.76768474,187,9.496080775873027,right
YBR063C,YBR063C,368184,2,-,220,50.28328474,190,9.67678084942026,late_trough
YBR065C,ECM2,369751,2,-,221,48.262484740000005,186,9.649983723958155,left
YBR066C,NRG2,370752,2,-,222,48.262484740000005,186,9.389433267019902,right
YBR067C,TIP1,372787,2,-,223,48.262484740000005,186,9.929364827927285,right
YBR068C,BAP2,375730,2,-,224,49.77808474,189,14.128423243369994,late_trough
YBR069C,TAT1,378539,2,-,225,43.21038474,176,13.217396549459583,left
YBR070C,ALG14,379988,2,-,226,42.19988474,174,9.723656440292388,left
YBR071W,YBR071W,380340,2,+,227,42.19988474,174,8.643329321833608,left
YBR072W,HSP26,381753,2,+,228,39.16868474,168,7.248660327630438,early_peak
YBR072C-A,YBR072C-A,383021,2,-,229,39.67388474,169,5.095061512300621,right
YBR073W,RDH54,383155,2,+,230,39.67388474,169,12.402932676055794,right
YBR074W,YBR074W,386282,2,+,231,40.17908474,170,12.324109992546369,late_trough
YBR076W,ECM8,390227,2,+,232,37.65298474,165,5.910370603181463,left
YBR077C,SLM4,392353,2,-,233,36.64258474,163,9.365240438984173,left
YBR078W,ECM33,392948,2,+,234,36.64258474,163,15.697247322499218,left
YBR079C,RPG1,398303,2,-,235,32.09568474,154,14.434274775758105,left
YBR080C,SEC18,400917,2,-,236,29.06438474,148,12.484009965070145,left
YBR081C,SPT7,405398,2,-,237,27.40488474,96,12.124292936454603,left
YBR082C,UBC4,407235,2,-,238,27.40488474,96,13.115600379959828,right
YBR083W,TEC1,409123,2,+,239,27.98208474,97,11.56906201581442,right
YBR084W,MIS1,411041,2,+,240,28.55918474,147,13.878520730575229,right
YBR084C-A,RPL19A,415312,2,-,241,32.60088474,155,15.930537913833236,right
YBR085W,AAC3,415920,2,+,242,32.60088474,155,8.66291485600826,right
YBR085C-A,YBR085C-A,419194,2,-,243,35.12698474,160,10.071706349975203,right
YBR086C,IST2,423345,2,-,244,39.16868474,168,13.548587042123954,right
YBR087W,RFC5,423755,2,+,245,39.16868474,168,11.369846233064745,right
YBR088C,POL30,425807,2,-,246,42.19988474,174,11.77952308809762,right
YBR089C-A,NHP6B,426873,2,-,247,42.19988474,174,11.385854089779496,right
YBR090C,YBR090C,427058,2,-,248,44.22078474,178,10.59161445492521,right
YBR091C,TIM12,427526,2,-,249,44.22078474,178,9.018928172937134,right
YBR092C,PHO3,429116,2,-,250,45.736384740000005,181,12.704068478126466,right
YBR093C,PHO5,430987,2,-,251,45.736384740000005,181,13.463658789691578,right
YBR094W,PBY1,431971,2,+,252,45.736384740000005,181,11.165130980889595,right
YBR095C,RXT2,435739,2,-,253,47.75728474,185,10.36372542701787,right
YBR096W,YBR096W,435940,2,+,254,47.75728474,185,10.9261432707002,right
YBR097W,VPS15,436921,2,+,255,47.75728474,185,11.318935083108947,right
YBR098W,MMS4,441518,2,+,256,51.29378474,192,8.846480804369577,right
YBR101C,FES1,444766,2,-,257,51.79898474,193,12.294536623132775,right
YBR102C,EXO84,447355,2,-,258,52.30418474,194,10.973590629553472,right
YBR103W,SIF2,447550,2,+,259,52.30418474,194,10.950305721706288,right
YBR104W,YMC2,449580,2,+,260,52.30418474,194,11.313075736340288,right
YBR105C,VID24,451996,2,-,261,52.30418474,194,9.434928166733348,right
YBR106W,PHO88,452626,2,+,262,52.30418474,194,13.966149083617825,right
YBR107C,IML3,454552,2,-,263,52.30418474,194,8.54255486396279,right
YBR108W,AIM3,454808,2,+,264,52.30418474,194,9.392058752763985,left
YBR109C,CMD1,458402,2,-,265,50.788584740000005,191,12.320101665295645,left
YBR110W,ALG1,458658,2,+,266,50.788584740000005,191,11.15903272861484,left
YBR111C,YSA1,461857,2,-,267,47.75728474,185,11.509688493732668,left
YBR111W-A,SUS1,462139,2,+,268,47.75728474,185,9.228651482887603,right
YBR112C,CYC8,465965,2,-,269,48.76768474,187,11.367527546473076,late_trough
YBR114W,RAD16,467131,2,+,270,47.75728474,185,10.418971584702971,left
YBR115C,LYS2,474014,2,-,271,40.68428474,171,14.448057654653166,left
YBR117C,TKL2,476675,2,-,272,39.16868474,168,7.2667020255615995,left
YBR118W,TEF2,477650,2,+,273,37.65298474,165,15.203861562085892,left
YBR119W,MUD1,479299,2,+,274,36.64258474,163,9.304698208633399,left
YBR120C,CBP6,481007,2,-,275,34.116484740000004,158,9.747351949820278,left
YBR121C,GRS1,483445,2,-,276,33.10608474,156,14.871007433803932,left
YBR122C,MRPL36,484537,2,-,277,33.10608474,156,10.682310539706926,right
YBR123C,TFC1,486760,2,-,278,33.61128474,157,10.48714708095538,right
YBR125C,PTC4,488560,2,-,279,34.62168474,159,10.255103384215985,right
YBR126C,TPS1,490500,2,-,280,34.62168474,159,12.435722820376329,right
YBR127C,VMA2,492887,2,-,281,36.13738474,162,15.079544625031227,right
YBR128C,ATG14,494148,2,-,282,36.64258474,163,7.511933653756685,right
YBR129C,OPY1,495375,2,-,283,37.65298474,165,10.093874591147415,right
YBR130C,SHE3,496930,2,-,284,37.65298474,165,11.374945421816607,right
YBR131W,CCZ1,497120,2,+,285,39.16868474,168,9.833855157405432,right
YBR132C,AGP2,501554,2,-,286,41.69468474,173,9.366217203806423,right
YBR133C,HSL7,504401,2,-,287,43.71558474,177,11.744715000577424,right
YBR135W,CKS1,504755,2,+,288,43.71558474,177,10.689483427815189,right
YBR136W,MEC1,505618,2,+,289,43.71558474,177,11.565909566746114,right
YBR137W,YBR137W,512953,2,+,290,47.25208474,184,10.434066718704376,right
YBR138C,YBR138C,515406,2,-,291,50.28328474,190,11.549588001579634,right
YBR139W,YBR139W,515660,2,+,292,50.28328474,190,12.23263986355241,left
YBR140C,IRA1,526628,2,-,293,48.76768474,187,13.048288266311687,left
YBR141C,YBR141C,528059,2,-,294,48.76768474,187,9.107731516888641,right
YBR142W,MAK5,528271,2,+,295,48.76768474,187,12.030118708803263,right
YBR143C,SUP45,532222,2,-,296,49.27288474,188,13.96100884647648,right
YBR145W,ADH5,533722,2,+,297,49.77808474,189,10.789067738183343,right
YBR146W,MRPS9,535198,2,+,298,50.788584740000005,191,11.291054825890715,right
YBR147W,RTC2,536575,2,+,299,50.788584740000005,191,7.777936525676559,right
YBR148W,YSW1,537690,2,+,300,50.788584740000005,191,7.972396103507675,left
YBR149W,ARA1,539919,2,+,301,50.28328474,190,11.504356029643056,early_peak
YBR150C,TBS1,544525,2,-,302,51.29378474,192,10.632137683045363,right
YBR151W,APD1,544916,2,+,303,51.29378474,192,12.143986621610264,right
YBR152W,SPP381,546323,2,+,304,51.79898474,193,9.128221815641881,right
YBR153W,RIB7,547411,2,+,305,51.79898474,193,9.693895929156135,right
YBR154C,RPB5,549101,2,-,306,52.30418474,194,12.311488900988069,right
YBR155W,CNS1,549727,2,+,307,52.30418474,194,11.030209567544322,right
YBR156C,SLI15,553238,2,-,308,52.30418474,194,9.503891313268001,right
YBR157C,ICS2,554383,2,-,309,52.30418474,194,9.630748883890243,right
YBR162W-A,YSY6,565197,2,+,310,52.30418474,194,11.24227811070901,right
YBR163W,EXO5,565640,2,+,311,52.30418474,194,10.726357974179347,right
YBR164C,ARL1,568546,2,-,312,52.30418474,194,11.770554597752087,right
YBR165W,UBS1,568761,2,+,313,52.30418474,194,9.375706282288627,right
YBR166C,TYR1,571253,2,-,314,52.30418474,194,11.5832110399549,right
YBR167C,POP7,571927,2,-,315,52.30418474,194,9.680762793415402,right
YBR168W,PEX32,572245,2,+,316,52.30418474,194,9.626215638602886,left
YBR169C,SSE2,575996,2,-,317,50.788584740000005,191,10.60050797950501,left
YBR170C,NPL4,578160,2,-,318,49.27288474,188,11.400049102085012,left
YBR171W,SEC66,578339,2,+,319,49.27288474,188,11.765811348141396,left
YBR172C,SMY2,581484,2,-,320,46.24158474,182,11.899712516158395,left
YBR173C,UMP1,582201,2,-,321,46.24158474,182,11.405593583374442,right
YBR175W,SWD3,582396,2,+,322,46.24158474,182,9.955723124102517,left
YBR176W,ECM31,583587,2,+,323,45.736384740000005,181,9.918835185568273,left
YBR177C,EHT1,586194,2,-,324,45.23118474,180,11.750822578727917,left
YBR179C,FZO1,589180,2,-,325,43.21038474,176,11.000986924725462,left
YBR180W,DTR1,589741,2,+,326,43.21038474,176,6.296870027323599,right
YBR181C,RPS6B,592828,2,-,327,43.71558474,177,14.998049754697012,right
YBR182C,SMP1,595028,2,-,328,43.71558474,177,8.151446796211141,right
YBR182C-A,YBR182C-A,595555,2,-,329,43.71558474,177,5.118329006440346,right
YBR183W,YPC1,595907,2,+,330,43.71558474,177,9.413040746457622,right
YBR184W,YBR184W,597364,2,+,331,43.71558474,177,9.446211368416881,right
YBR185C,MBA1,599979,2,-,332,43.71558474,177,9.802079202429102,right
YBR186W,PCH2,600553,2,+,333,43.71558474,177,6.679853118474257,left
YBR187W,GDT1,602551,2,+,334,41.69468474,173,12.700738869935167,left
YBR188C,NTC20,604183,2,-,335,40.17908474,170,8.781942483564244,left
YBR189W,RPS9B,604471,2,+,336,40.17908474,170,16.95179585322167,left
YBR191W,RPL21A,606221,2,+,337,38.66338474,167,15.9654120143806,left
YBR192W,RIM2,607503,2,+,338,37.65298474,165,10.92060682749003,left
YBR193C,MED8,609814,2,-,339,37.65298474,165,9.354556576519636,right
YBR194W,AIM4,609970,2,+,340,37.65298474,165,8.487403072109398,left
YBR195C,MSI1,611876,2,-,341,37.14778474,164,9.362831956709943,left
YBR196C,PGI1,613936,2,-,342,36.64258474,163,16.194940017906326,left
YBR196C-A,YBR196C-A,614173,2,-,343,36.64258474,163,6.517104499719942,right
YBR196C-B,YBR196C-B,614630,2,-,344,36.64258474,163,6.294528782654737,left
YBR197C,YBR197C,615880,2,-,345,36.13738474,162,9.584145505601102,left
YBR198C,TAF5,618598,2,-,346,35.12698474,160,11.962145376159494,left
YBR199W,KTR4,618817,2,+,347,35.12698474,160,12.053978240037884,left
YBR200W,BEM1,620818,2,+,348,31.59048474,153,9.842820385590109,left
YBR200W-A,YBR200W-A,622983,2,+,349,30.57998474,151,4.6545528837025385,early_peak
YBR201W,DER1,623441,2,+,350,31.59048474,153,9.452868265650423,right
YBR201C-A,YBR201C-A,624843,2,-,351,31.59048474,153,6.280022491047495,right
YBR202W,MCM7,625743,2,+,352,31.59048474,153,9.57506134262675,right
YBR203W,COS111,628866,2,+,353,33.10608474,156,9.861363715297957,right
YBR204C,YBR204C,633444,2,-,354,38.15818474,166,10.0309053708578,right
YBR205W,KTR3,633576,2,+,355,38.15818474,166,12.361304716625497,right
YBR207W,FTH1,635095,2,+,356,40.68428474,171,11.686907134427464,right
