orf_name,gene,chr,cat,start,stop,strand,classification,length,manually_curated,promoter_start,promoter_end,gene_body_start,gene_body_end,left_end,right_end,park_TSS,park_PAS,TSS,PAS
YAL030W,SNC1,1,gene,87286,87752,+,Verified,466,False,86965.0,87265.0,87265.0,87765.0,87265,87863.0,87265.0,87863.0,87265.0,87863.0
YAL029C,MYO4,1,gene,87855,92270,-,Verified,4415,False,92523.0,92823.0,92023.0,92523.0,87696,92523.0,92523.0,87696.0,92523.0,87696.0
YAL028W,FRT2,1,gene,92900,94486,+,Verified,1586,False,92555.0,92855.0,92855.0,93355.0,92855,94607.0,92855.0,94607.0,92855.0,94607.0
YAL027W,SAW1,1,gene,94687,95472,+,Verified,785,False,94308.0,94608.0,94608.0,95108.0,94608,95579.0,94608.0,95579.0,94608.0,95579.0
YAL026C,DRS2,1,gene,95630,99697,-,Verified,4067,False,99784.0,100084.0,99284.0,99784.0,95483,99784.0,99784.0,95483.0,99784.0,95483.0
YAL025C,MAK16,1,gene,100225,101145,-,Verified,920,False,101169.0,101469.0,100669.0,101169.0,100023,101169.0,101169.0,100023.0,101169.0,100023.0
YAL024C,LTE1,1,gene,101565,105872,-,Verified,4307,False,105977.0,106277.0,105477.0,105977.0,101372,105977.0,105977.0,101372.0,105977.0,101372.0
YAL023C,PMT2,1,gene,106272,108551,-,Verified,2279,False,108640.0,108940.0,108140.0,108640.0,106144,108640.0,108640.0,106144.0,108640.0,106144.0
YAL022C,FUN26,1,gene,108877,110430,-,Verified,1553,False,110447.0,110747.0,109947.0,110447.0,108836,110447.0,110447.0,108836.0,110447.0,108836.0
YAL021C,CCR4,1,gene,110846,113359,-,Verified,2513,False,113404.0,113704.0,112904.0,113404.0,110617,113404.0,113404.0,110617.0,113404.0,110617.0
YAL020C,ATS1,1,gene,113614,114615,-,Verified,1001,False,114631.0,114931.0,114131.0,114631.0,113538,114631.0,114631.0,113538.0,114631.0,113538.0
YAL019W,FUN30,1,gene,114919,118314,+,Verified,3395,False,114510.0,114810.0,114810.0,115310.0,114810,118387.0,114810.0,118387.0,114810.0,118387.0
YAL018C,YAL018C,1,gene,118564,119541,-,Uncharacterized,977,,119541.0,119841.0,119041.0,119541.0,118564,119541.0,,,119541.0,118564.0
YAL017W,PSK1,1,gene,120225,124295,+,Verified,4070,False,119559.0,119859.0,119859.0,120359.0,119859,124460.0,119859.0,124460.0,119859.0,124460.0
YAL016W,TPD3,1,gene,124879,126786,+,Verified,1907,False,124499.0,124799.0,124799.0,125299.0,124799,126876.0,124799.0,126876.0,124799.0,126876.0
YAL015C,NTG1,1,gene,126903,128102,-,Verified,1199,,128102.0,128402.0,127602.0,128102.0,126903,128102.0,,,128102.0,126903.0
YAL014C,SYN8,1,gene,128252,129019,-,Verified,767,False,129068.0,129368.0,128568.0,129068.0,128092,129068.0,129068.0,128092.0,129068.0,128092.0
YAL013W,DEP1,1,gene,129270,130487,+,Verified,1217,False,128937.0,129237.0,129237.0,129737.0,129237,130584.0,129237.0,130584.0,129237.0,130584.0
YAL012W,CYS3,1,gene,130799,131983,+,Verified,1184,False,130445.0,130745.0,130745.0,131245.0,130745,132083.0,130745.0,132083.0,130745.0,132083.0
YAL011W,SWC3,1,gene,132199,134076,+,Verified,1877,False,131896.0,132196.0,132196.0,132696.0,132196,134179.0,132196.0,134179.0,132196.0,134179.0
YAL010C,MDM10,1,gene,134184,135665,-,Verified,1481,False,135707.0,136007.0,135207.0,135707.0,134137,135707.0,135707.0,134137.0,135707.0,134137.0
YAL009W,SPO7,1,gene,135854,136633,+,Verified,779,False,135514.0,135814.0,135814.0,136314.0,135814,136781.0,135814.0,136781.0,135814.0,136781.0
YAL008W,FUN14,1,gene,136914,137510,+,Verified,596,False,136567.0,136867.0,136867.0,137367.0,136867,137638.0,136867.0,137638.0,136867.0,137638.0
YAL007C,ERP2,1,gene,137698,138345,-,Verified,647,False,138421.0,138721.0,137921.0,138421.0,137523,138421.0,138421.0,137523.0,138421.0,137523.0
YAL005C,SSA1,1,gene,139503,141431,-,Verified,1928,False,141494.0,141794.0,140994.0,141494.0,139358,141494.0,141494.0,139358.0,141494.0,139358.0
YAL003W,EFB1,1,gene,142174,143160,+,Verified,986,False,141854.0,142154.0,142154.0,142654.0,142154,143369.0,142154.0,143369.0,142154.0,143369.0
YAL002W,VPS8,1,gene,143707,147531,+,Verified,3824,False,143252.0,143552.0,143552.0,144052.0,143552,147566.0,143552.0,147566.0,143552.0,147566.0
YAL001C,TFC3,1,gene,147594,151166,-,Verified,3572,False,151205.0,151505.0,150705.0,151205.0,147540,151205.0,151205.0,147540.0,151205.0,147540.0
YAR002W,NUP60,1,gene,152257,153876,+,Verified,1619,False,151916.0,152216.0,152216.0,152716.0,152216,153963.0,152216.0,153963.0,152216.0,153963.0
YAR002C-A,ERP1,1,gene,154065,154724,-,Verified,659,False,154741.0,155041.0,154241.0,154741.0,153990,154741.0,154741.0,153990.0,154741.0,153990.0
YAR003W,SWD1,1,gene,155005,156285,+,Verified,1280,False,154652.0,154952.0,154952.0,155452.0,154952,156285.0,154952.0,,154952.0,156285.0
YAR007C,RFA1,1,gene,156754,158619,-,Verified,1865,False,158683.0,158983.0,158183.0,158683.0,156682,158683.0,158683.0,156682.0,158683.0,156682.0
YAR008W,SEN34,1,gene,158966,159793,+,Verified,827,False,158569.0,158869.0,158869.0,159369.0,158869,159861.0,158869.0,159861.0,158869.0,159861.0
YAR014C,BUD14,1,gene,166742,168871,-,Verified,2129,False,169022.0,169322.0,168522.0,169022.0,166558,169022.0,169022.0,166558.0,169022.0,166558.0
YAR015W,ADE1,1,gene,169375,170295,+,Verified,920,False,168973.0,169273.0,169273.0,169773.0,169273,170391.0,169273.0,170391.0,169273.0,170391.0
YAR018C,KIN3,1,gene,170396,171703,-,Verified,1307,False,171720.0,172020.0,171220.0,171720.0,170264,171720.0,171720.0,170264.0,171720.0,170264.0
YAR019C,CDC15,1,gene,172211,175135,-,Verified,2924,,175135.0,175435.0,174635.0,175135.0,172211,175135.0,,,175135.0,172211.0
YAR020C,PAU7,1,gene,176856,177023,-,Verified,167,,177023.0,177323.0,176523.0,177023.0,176856,177023.0,,,177023.0,176856.0
YAR023C,YAR023C,1,gene,179281,179820,-,Uncharacterized,539,,179820.0,180120.0,179320.0,179820.0,179281,179820.0,,,179820.0,179281.0
YAR027W,UIP3,1,gene,183770,184477,+,Verified,707,False,183389.0,183689.0,183689.0,184189.0,183689,184553.0,183689.0,184553.0,183689.0,184553.0
YAR028W,YAR028W,1,gene,184892,185596,+,Uncharacterized,704,False,184537.0,184837.0,184837.0,185337.0,184837,185795.0,184837.0,185795.0,184837.0,185795.0
YAR029W,YAR029W,1,gene,186321,186545,+,Uncharacterized,224,,186021.0,186321.0,186321.0,186821.0,186321,186545.0,,,186321.0,186545.0
YAR031W,PRM9,1,gene,186836,187732,+,Verified,896,False,186698.0,186998.0,186998.0,187498.0,186998,187890.0,186998.0,187890.0,186998.0,187890.0
YAR033W,MST28,1,gene,188107,188811,+,Verified,704,False,187766.0,188066.0,188066.0,188566.0,188066,188905.0,188066.0,188905.0,188066.0,188905.0
YAR035W,YAT1,1,gene,190193,192256,+,Verified,2063,,189893.0,190193.0,190193.0,190693.0,190193,192256.0,,,190193.0,192256.0
YAR035C-A,YAR035C-A,1,gene,192337,192417,-,Uncharacterized,80,,192417.0,192717.0,191917.0,192417.0,192337,192417.0,,,192417.0,192337.0
YAR042W,SWH1,1,gene,192619,196185,+,Verified,3566,False,192296.0,192596.0,192596.0,193096.0,192596,196419.0,192596.0,196419.0,192596.0,196419.0
YAR050W,FLO1,1,gene,203403,208016,+,Verified,4613,,203103.0,203403.0,203403.0,203903.0,203403,208016.0,,,203403.0,208016.0
YAR064W,YAR064W,1,gene,220198,220497,+,Uncharacterized,299,,219898.0,220198.0,220198.0,220698.0,220198,220497.0,,,220198.0,220497.0
YAR066W,YAR066W,1,gene,221049,221660,+,Uncharacterized,611,False,220674.0,220974.0,220974.0,221474.0,220974,221660.0,220974.0,,220974.0,221660.0
YAR068W,YAR068W,1,gene,222406,222891,+,Uncharacterized,485,,222106.0,222406.0,222406.0,222906.0,222406,222891.0,,,222406.0,222891.0
YAR071W,PHO11,1,gene,225460,226863,+,Verified,1403,False,225121.0,225421.0,225421.0,225921.0,225421,226914.0,225421.0,226914.0,225421.0,226914.0
YBL113C,YBL113C,2,gene,280,2658,-,Uncharacterized,2378,,2658.0,2958.0,2158.0,2658.0,280,2658.0,,,2658.0,280.0
YBL112C,YBL112C,2,gene,2582,2899,-,Uncharacterized,317,,2899.0,3199.0,2399.0,2899.0,2582,2899.0,,,2899.0,2582.0
YBL111C,YBL111C,2,gene,2907,5009,-,Uncharacterized,2102,,5009.0,5309.0,4509.0,5009.0,2907,5009.0,,,5009.0,2907.0
YBL108C-A,PAU9,2,gene,7605,7733,-,Verified,128,,7733.0,8033.0,7233.0,7733.0,7605,7733.0,,,7733.0,7605.0
YBL107C,YBL107C,2,gene,9961,10551,-,Uncharacterized,590,False,10552.0,10852.0,10052.0,10552.0,9819,10552.0,10552.0,9819.0,10552.0,9819.0
YBL106C,SRO77,2,gene,10847,13879,-,Verified,3032,False,13947.0,14247.0,13447.0,13947.0,10774,13947.0,13947.0,10774.0,13947.0,10774.0
YBL105C,PKC1,2,gene,14241,17696,-,Verified,3455,False,17967.0,18267.0,17467.0,17967.0,14105,17967.0,17967.0,14105.0,17967.0,14105.0
YBL104C,YBL104C,2,gene,18177,21293,-,Uncharacterized,3116,False,21299.0,21599.0,20799.0,21299.0,18095,21299.0,21299.0,18095.0,21299.0,18095.0
YBL103C,RTG3,2,gene,22076,23536,-,Verified,1460,False,23791.0,24091.0,23291.0,23791.0,21716,23791.0,23791.0,21716.0,23791.0,21716.0
YBL102W,SFT2,2,gene,24098,24745,+,Verified,647,False,23711.0,24011.0,24011.0,24511.0,24011,24939.0,24011.0,24939.0,24011.0,24939.0
YBL101C,ECM21,2,gene,24946,28299,-,Verified,3353,False,28584.0,28884.0,28084.0,28584.0,24811,28584.0,28584.0,24811.0,28584.0,24811.0
YBL100W-C,YBL100W-C,2,gene,28427,28546,+,Uncharacterized,119,,28127.0,28427.0,28427.0,28927.0,28427,28546.0,,,28427.0,28546.0
YBL099W,ATP1,2,gene,37053,38690,+,Verified,1637,False,36467.0,36767.0,36767.0,37267.0,36767,38923.0,36767.0,38923.0,36767.0,38923.0
YBL098W,BNA4,2,gene,39145,40527,+,Verified,1382,False,38826.0,39126.0,39126.0,39626.0,39126,40645.0,39126.0,40645.0,39126.0,40645.0
YBL097W,BRN1,2,gene,40831,43095,+,Verified,2264,False,40482.0,40782.0,40782.0,41282.0,40782,43309.0,40782.0,43309.0,40782.0,43309.0
YBL095W,YBL095W,2,gene,43277,44089,+,Uncharacterized,812,,42977.0,43277.0,43277.0,43777.0,43277,44089.0,,,43277.0,44089.0
YBL093C,ROX3,2,gene,44256,44918,-,Verified,662,False,44999.0,45299.0,44499.0,44999.0,44040,44999.0,44999.0,44040.0,44999.0,44040.0
YBL092W,RPL32,2,gene,45645,46370,+,Verified,725,False,45283.0,45583.0,45583.0,46083.0,45583,46518.0,45583.0,46518.0,45583.0,46518.0
YBL091C-A,SCS22,2,gene,46565,47180,-,Verified,615,False,47194.0,47494.0,46694.0,47194.0,46560,47194.0,47194.0,46560.0,47194.0,46560.0
YBL091C,MAP2,2,gene,47363,48628,-,Verified,1265,False,48660.0,48960.0,48160.0,48660.0,47274,48660.0,48660.0,47274.0,48660.0,47274.0
YBL090W,MRP21,2,gene,48825,49358,+,Verified,533,False,48495.0,48795.0,48795.0,49295.0,48795,49478.0,48795.0,49478.0,48795.0,49478.0
YBL089W,AVT5,2,gene,49574,50953,+,Verified,1379,False,49211.0,49511.0,49511.0,50011.0,49511,51262.0,49511.0,51262.0,49511.0,51262.0
YBL088C,TEL1,2,gene,51019,59382,-,Verified,8363,False,59439.0,59739.0,58939.0,59439.0,50936,59439.0,59439.0,50936.0,59439.0,50936.0
YBL087C,RPL23A,2,gene,59822,60739,-,Verified,917,False,60763.0,61063.0,60263.0,60763.0,59723,60763.0,60763.0,59723.0,60763.0,59723.0
YBL086C,YBL086C,2,gene,61202,62602,-,Uncharacterized,1400,False,62727.0,63027.0,62227.0,62727.0,61156,62727.0,62727.0,61156.0,62727.0,61156.0
YBL085W,BOI1,2,gene,63876,66818,+,Verified,2942,False,63362.0,63662.0,63662.0,64162.0,63662,66930.0,63662.0,66930.0,63662.0,66930.0
YBL084C,CDC27,2,gene,67169,69445,-,Verified,2276,False,69544.0,69844.0,69044.0,69544.0,66924,69544.0,69544.0,66924.0,69544.0,66924.0
YBL082C,ALG3,2,gene,69751,71127,-,Verified,1376,False,71410.0,71710.0,70910.0,71410.0,69659,71410.0,71410.0,69659.0,71410.0,69659.0
YBL081W,YBL081W,2,gene,71866,72972,+,Uncharacterized,1106,False,71253.0,71553.0,71553.0,72053.0,71553,73031.0,71553.0,73031.0,71553.0,73031.0
YBL080C,PET112,2,gene,73070,74695,-,Verified,1625,False,74779.0,75079.0,74279.0,74779.0,72966,74779.0,74779.0,72966.0,74779.0,72966.0
YBL079W,NUP170,2,gene,75259,79767,+,Verified,4508,False,74907.0,75207.0,75207.0,75707.0,75207,79853.0,75207.0,79853.0,75207.0,79853.0
YBL078C,ATG8,2,gene,80378,80731,-,Verified,353,False,80814.0,81114.0,80314.0,80814.0,80378,80814.0,80814.0,,80814.0,80378.0
YBL076C,ILS1,2,gene,81043,84261,-,Verified,3218,False,84270.0,84570.0,83770.0,84270.0,80948,84270.0,84270.0,80948.0,84270.0,80948.0
YBL075C,SSA3,2,gene,84499,86448,-,Verified,1949,,86448.0,86748.0,85948.0,86448.0,84499,86448.0,,,86448.0,84499.0
YBL074C,AAR2,2,gene,86722,87789,-,Verified,1067,False,87804.0,88104.0,87304.0,87804.0,86722,87804.0,87804.0,,87804.0,86722.0
YBL072C,RPS8A,2,gene,88523,89440,-,Verified,917,False,89117.0,89417.0,88617.0,89117.0,88404,89117.0,89117.0,88404.0,89117.0,88404.0
YBL071C-B,YBL071C-B,2,gene,89458,89556,-,Uncharacterized,98,,89556.0,89856.0,89056.0,89556.0,89458,89556.0,,,89556.0,89458.0
YBL071W-A,KTI11,2,gene,89978,90226,+,Verified,248,False,89636.0,89936.0,89936.0,90436.0,89936,90473.0,89936.0,90473.0,89936.0,90473.0
YBL069W,AST1,2,gene,90741,92030,+,Verified,1289,False,90370.0,90670.0,90670.0,91170.0,90670,92112.0,90670.0,92112.0,90670.0,92112.0
YBL068W,PRS4,2,gene,92414,93394,+,Verified,980,False,92066.0,92366.0,92366.0,92866.0,92366,93484.0,92366.0,93484.0,92366.0,93484.0
YBL067C,UBP13,2,gene,93639,95882,-,Verified,2243,False,96170.0,96470.0,95670.0,96170.0,93524,96170.0,96170.0,93524.0,96170.0,93524.0
YBL066C,SEF1,2,gene,96669,100115,-,Verified,3446,False,99054.0,99354.0,98554.0,99054.0,96489,99054.0,99054.0,96489.0,99054.0,96489.0
YBL064C,PRX1,2,gene,100371,101156,-,Verified,785,False,101225.0,101525.0,100725.0,101225.0,100300,101225.0,101225.0,100300.0,101225.0,100300.0
YBL063W,KIP1,2,gene,101886,105221,+,Verified,3335,False,101587.0,101887.0,101887.0,102387.0,101887,105318.0,101887.0,105318.0,101887.0,105318.0
YBL061C,SKT5,2,gene,105316,107406,-,Verified,2090,False,107511.0,107811.0,107011.0,107511.0,105214,107511.0,107511.0,105214.0,107511.0,105214.0
YBL060W,YEL1,2,gene,107932,109995,+,Verified,2063,False,107571.0,107871.0,107871.0,108371.0,107871,110040.0,107871.0,110040.0,107871.0,110040.0
YBL059C-A,CMC2,2,gene,110125,110539,-,Verified,414,False,110562.0,110862.0,110062.0,110562.0,109966,110562.0,110562.0,109966.0,110562.0,109966.0
YBL059W,YBL059W,2,gene,110594,111244,+,Uncharacterized,650,False,110375.0,110675.0,110675.0,111175.0,110675,111317.0,110675.0,111317.0,110675.0,111317.0
YBL058W,SHP1,2,gene,111437,112708,+,Verified,1271,False,111097.0,111397.0,111397.0,111897.0,111397,112826.0,111397.0,112826.0,111397.0,112826.0
YBL057C,PTH2,2,gene,112801,113427,-,Verified,626,False,113448.0,113748.0,112948.0,113448.0,112735,113448.0,113448.0,112735.0,113448.0,112735.0
YBL056W,PTC3,2,gene,113762,115168,+,Verified,1406,False,113383.0,113683.0,113683.0,114183.0,113683,115536.0,113683.0,115536.0,113683.0,115536.0
YBL055C,YBL055C,2,gene,115573,116829,-,Verified,1256,False,116816.0,117116.0,116316.0,116816.0,115480,116816.0,116816.0,115480.0,116816.0,115480.0
YBL054W,TOD6,2,gene,117589,119166,+,Verified,1577,False,117179.0,117479.0,117479.0,117979.0,117479,119312.0,117479.0,119312.0,117479.0,119312.0
YBL052C,SAS3,2,gene,119379,121874,-,Verified,2495,False,122063.0,122363.0,121563.0,122063.0,119311,122063.0,122063.0,119311.0,122063.0,119311.0
YBL051C,PIN4,2,gene,122753,124759,-,Verified,2006,False,124823.0,125123.0,124323.0,124823.0,122604,124823.0,124823.0,122604.0,124823.0,122604.0
YBL050W,SEC17,2,gene,125125,126119,+,Verified,994,False,124759.0,125059.0,125059.0,125559.0,125059,126187.0,125059.0,126187.0,125059.0,126187.0
YBL049W,MOH1,2,gene,126828,127244,+,Verified,416,False,126323.0,126623.0,126623.0,127123.0,126623,127244.0,126623.0,,126623.0,127244.0
YBL047C,EDE1,2,gene,127895,132040,-,Verified,4145,False,132212.0,132512.0,131712.0,132212.0,127752,132212.0,132212.0,127752.0,132212.0,127752.0
YBL046W,PSY4,2,gene,132424,133749,+,Verified,1325,False,132117.0,132417.0,132417.0,132917.0,132417,133932.0,132417.0,133932.0,132417.0,133932.0
YBL045C,COR1,2,gene,134143,135516,-,Verified,1373,False,135641.0,135941.0,135141.0,135641.0,133841,135641.0,135641.0,133841.0,135641.0,133841.0
YBL044W,YBL044W,2,gene,135998,136366,+,Uncharacterized,368,,135698.0,135998.0,135998.0,136498.0,135998,136366.0,,,135998.0,136366.0
YBL043W,ECM13,2,gene,136688,137461,+,Verified,773,False,136256.0,136556.0,136556.0,137056.0,136556,137645.0,136556.0,137645.0,136556.0,137645.0
YBL042C,FUI1,2,gene,138341,140260,-,Verified,1919,False,140317.0,140617.0,139817.0,140317.0,138151,140317.0,140317.0,138151.0,140317.0,138151.0
YBL041W,PRE7,2,gene,141247,141972,+,Verified,725,False,140917.0,141217.0,141217.0,141717.0,141217,142029.0,141217.0,142029.0,141217.0,142029.0
YBL040C,ERD2,2,gene,142112,142868,-,Verified,756,False,142901.0,143201.0,142401.0,142901.0,142013,142901.0,142901.0,142013.0,142901.0,142013.0
YBL039W-B,YBL039W-B,2,gene,143393,143572,+,Uncharacterized,179,False,142809.0,143109.0,143109.0,143609.0,143109,143701.0,143109.0,143701.0,143109.0,143701.0
YBL039C,URA7,2,gene,143989,145728,-,Verified,1739,False,145783.0,146083.0,145283.0,145783.0,143808,145783.0,145783.0,143808.0,145783.0,143808.0
YBL038W,MRPL16,2,gene,146187,146885,+,Verified,698,False,145831.0,146131.0,146131.0,146631.0,146131,146948.0,146131.0,146948.0,146131.0,146948.0
YBL037W,APL3,2,gene,147209,150286,+,Verified,3077,False,146830.0,147130.0,147130.0,147630.0,147130,150404.0,147130.0,150404.0,147130.0,150404.0
YBL036C,YBL036C,2,gene,150447,151220,-,Verified,773,False,151270.0,151570.0,150770.0,151270.0,150302,151270.0,151270.0,150302.0,151270.0,150302.0
YBL035C,POL12,2,gene,151493,153610,-,Verified,2117,False,153689.0,153989.0,153189.0,153689.0,151383,153689.0,153689.0,151383.0,153689.0,151383.0
YBL034C,STU1,2,gene,153848,158389,-,Verified,4541,False,158216.0,158516.0,157716.0,158216.0,153699,158216.0,158216.0,153699.0,158216.0,153699.0
YBL033C,RIB1,2,gene,158656,159693,-,Verified,1037,False,159710.0,160010.0,159210.0,159710.0,158490,159710.0,159710.0,158490.0,159710.0,158490.0
YBL032W,HEK2,2,gene,160184,161329,+,Verified,1145,False,159795.0,160095.0,160095.0,160595.0,160095,161533.0,160095.0,161533.0,160095.0,161533.0
YBL031W,SHE1,2,gene,161699,162715,+,Verified,1016,False,161366.0,161666.0,161666.0,162166.0,161666,162875.0,161666.0,162875.0,161666.0,162875.0
YBL030C,PET9,2,gene,163041,163997,-,Verified,956,False,164142.0,164442.0,163642.0,164142.0,162742,164142.0,164142.0,162742.0,164142.0,162742.0
YBL029C-A,YBL029C-A,2,gene,164488,164772,-,Uncharacterized,284,False,164890.0,165190.0,164390.0,164890.0,164410,164890.0,164890.0,164410.0,164890.0,164410.0
YBL029W,YBL029W,2,gene,166134,167264,+,Uncharacterized,1130,,165834.0,166134.0,166134.0,166634.0,166134,167264.0,,,166134.0,167264.0
YBL028C,YBL028C,2,gene,167518,167838,-,Verified,320,False,167861.0,168161.0,167361.0,167861.0,167434,167861.0,167861.0,167434.0,167861.0,167434.0
YBL027W,RPL19B,2,gene,168423,169376,+,Verified,953,False,168072.0,168372.0,168372.0,168872.0,168372,169461.0,168372.0,169461.0,168372.0,169461.0
YBL026W,LSM2,2,gene,170623,171038,+,Verified,415,False,170282.0,170582.0,170582.0,171082.0,170582,171165.0,170582.0,171165.0,170582.0,171165.0
