orf_name,gene,chr,cat,start,stop,strand,classification,length,TSS,PAS,manually_curated,promoter_start,promoter_end,gene_body_start,gene_body_end
YBR139W,YBR139W,2,gene,515664,517190,+,Verified,1526,515660,517224.0,False,515360.0,515660.0,515660.0,516160.0
YBR141C,YBR141C,2,gene,527025,528038,-,Uncharacterized,1013,528059,526865.0,False,528059.0,528359.0,527559.0,528059.0
YBR182C-A,YBR182C-A,2,gene,595361,595555,-,Uncharacterized,194,595555,,,595555.0,595855.0,595055.0,595555.0
YBR184W,YBR184W,2,gene,597363,598934,+,Uncharacterized,1571,597364,599078.0,False,597064.0,597364.0,597364.0,597864.0
YBR187W,GDT1,2,gene,602634,603476,+,Uncharacterized,842,602551,603615.0,False,602251.0,602551.0,602551.0,603051.0
YBR196C-A,YBR196C-A,2,gene,614024,614173,-,Uncharacterized,149,614173,,,614173.0,614473.0,613673.0,614173.0
YBR196C-B,YBR196C-B,2,gene,614526,614630,-,Uncharacterized,104,614630,,,614630.0,614930.0,614130.0,614630.0
YBR197C,YBR197C,2,gene,615203,615856,-,Uncharacterized,653,615880,,False,615880.0,616180.0,615380.0,615880.0
YBR200W-A,YBR200W-A,2,gene,622983,623147,+,Uncharacterized,164,622983,,,622683.0,622983.0,622983.0,623483.0
YBR201C-A,YBR201C-A,2,gene,624493,624696,-,Uncharacterized,203,624843,624246.0,False,624843.0,625143.0,624343.0,624843.0
YBR204C,YBR204C,2,gene,632254,633381,-,Verified,1127,633444,631994.0,False,633444.0,633744.0,632944.0,633444.0
YBR219C,YBR219C,2,gene,662499,663303,-,Uncharacterized,804,663303,,,663303.0,663603.0,662803.0,663303.0
YBR220C,YBR220C,2,gene,662995,664677,-,Uncharacterized,1682,664745,662857.0,False,664745.0,665045.0,664245.0,664745.0
YBR221W-A,YBR221W-A,2,gene,666538,666642,+,Uncharacterized,104,666538,,,666238.0,666538.0,666538.0,667038.0
YBR225W,YBR225W,2,gene,670627,673329,+,Uncharacterized,2702,670493,673586.0,False,670193.0,670493.0,670493.0,670993.0
YBR230W-A,YBR230W-A,2,gene,680362,680562,+,Uncharacterized,200,680299,680708.0,False,679999.0,680299.0,680299.0,680799.0
YBR235W,YBR235W,2,gene,686901,690263,+,Uncharacterized,3362,686821,690361.0,False,686521.0,686821.0,686821.0,687321.0
YBR238C,YBR238C,2,gene,695107,697302,-,Verified,2195,697303,695094.0,False,697303.0,697603.0,696803.0,697303.0
YBR241C,YBR241C,2,gene,702589,704055,-,Uncharacterized,1466,704283,702523.0,False,704283.0,704583.0,703783.0,704283.0
YBR242W,YBR242W,2,gene,704670,705386,+,Uncharacterized,716,704503,705454.0,False,704203.0,704503.0,704503.0,705003.0
YBR255C-A,YBR255C-A,2,gene,726618,727074,-,Uncharacterized,456,727099,726508.0,False,727099.0,727399.0,726599.0,727099.0
YBR259W,YBR259W,2,gene,730387,732453,+,Uncharacterized,2066,730339,732589.0,False,730039.0,730339.0,730339.0,730839.0
YBR271W,YBR271W,2,gene,744852,746111,+,Uncharacterized,1259,744836,746278.0,False,744536.0,744836.0,744836.0,745336.0
YBR284W,YBR284W,2,gene,771239,773632,+,Uncharacterized,2393,771228,773801.0,False,770928.0,771228.0,771228.0,771728.0
YBR285W,YBR285W,2,gene,773922,774356,+,Uncharacterized,434,773740,,False,773440.0,773740.0,773740.0,774240.0
YBR287W,YBR287W,2,gene,776571,777854,+,Uncharacterized,1283,776539,777969.0,False,776239.0,776539.0,776539.0,777039.0
YBR296C-A,YBR296C-A,2,gene,800123,800242,-,Uncharacterized,119,800194,,False,800194.0,800494.0,799694.0,800194.0
YBR298C-A,YBR298C-A,2,gene,805035,805256,-,Uncharacterized,221,805451,,False,805451.0,805751.0,804951.0,805451.0
YBR302C,COS2,2,gene,810340,811479,-,Verified,1139,811487,810284.0,False,811487.0,811787.0,810987.0,811487.0
YCL073C,YCL073C,3,gene,6479,8326,-,Uncharacterized,1847,8326,,,8326.0,8626.0,7826.0,8326.0
YCL068C,YCL068C,3,gene,11503,12285,-,Uncharacterized,782,12285,,,12285.0,12585.0,11785.0,12285.0
YCL067C,HMLALPHA2,3,gene,12386,13018,-,Verified%7Csilenced_gene,632,12888,12298.0,False,12888.0,13188.0,12388.0,12888.0
YCL066W,HMLALPHA1,3,gene,13282,13809,+,Verified%7Csilenced_gene,527,13282,,,12982.0,13282.0,13282.0,13782.0
YCL057C-A,YCL057C-A,3,gene,24032,24325,-,Uncharacterized,293,24353,23905.0,False,24353.0,24653.0,23853.0,24353.0
YCL056C,YCL056C,3,gene,26925,27359,-,Uncharacterized,434,27391,26898.0,False,27391.0,27691.0,26891.0,27391.0
YCL049C,YCL049C,3,gene,39786,40724,-,Uncharacterized,938,40780,39604.0,False,40780.0,41080.0,40280.0,40780.0
YCL048W-A,YCL048W-A,3,gene,41488,41727,+,Uncharacterized,239,41488,,,41188.0,41488.0,41488.0,41988.0
YCL047C,YCL047C,3,gene,43661,44437,-,Uncharacterized,776,44458,43575.0,False,44458.0,44758.0,43958.0,44458.0
YCL042W,YCL042W,3,gene,50584,50943,+,Uncharacterized,359,50406,,False,50106.0,50406.0,50406.0,50906.0
YCL021W-A,YCL021W-A,3,gene,83620,83997,+,Uncharacterized,377,83620,,,83320.0,83620.0,83620.0,84120.0
YCL012C,YCL012C,3,gene,101317,101788,-,Verified,471,101823,101200.0,False,101823.0,102123.0,101323.0,101823.0
YCL002C,YCL002C,3,gene,110808,111675,-,Uncharacterized,867,111703,110547.0,False,111703.0,112003.0,111203.0,111703.0
YCL001W-A,YCL001W-A,3,gene,113080,113541,+,Uncharacterized,461,113080,,,112780.0,113080.0,113080.0,113580.0
YCL001W-B,YCL001W-B,3,gene,113770,114024,+,Uncharacterized,254,113770,,,113470.0,113770.0,113770.0,114270.0
YCR007C,YCR007C,3,gene,126011,126730,-,Uncharacterized,719,126730,,,126730.0,127030.0,126230.0,126730.0
YCR015C,YCR015C,3,gene,141217,142170,-,Uncharacterized,953,142195,141136.0,False,142195.0,142495.0,141695.0,142195.0
YCR016W,YCR016W,3,gene,143634,144506,+,Uncharacterized,872,143609,144663.0,False,143309.0,143609.0,143609.0,144109.0
YCR023C,YCR023C,3,gene,158538,160373,-,Verified,1835,160464,158298.0,False,160464.0,160764.0,159964.0,160464.0
YCR024C-B,YCR024C-B,3,gene,162599,162865,-,Uncharacterized,266,162865,,,162865.0,163165.0,162365.0,162865.0
YCR039C,MATALPHA2,3,gene,199546,200178,-,Verified,632,200051,199465.0,False,200051.0,200351.0,199551.0,200051.0
YCR040W,MATALPHA1,3,gene,200442,200969,+,Verified,527,200442,,,200142.0,200442.0,200442.0,200942.0
YCR043C,YCR043C,3,gene,206261,206644,-,Uncharacterized,383,206669,206096.0,False,206669.0,206969.0,206169.0,206669.0
YCR050C,YCR050C,3,gene,213464,213772,-,Uncharacterized,308,213772,,,213772.0,214072.0,213272.0,213772.0
YCR051W,YCR051W,3,gene,214071,214739,+,Uncharacterized,668,214048,214872.0,False,213748.0,214048.0,214048.0,214548.0
YCR061W,YCR061W,3,gene,225563,227458,+,Uncharacterized,1895,225506,227818.0,False,225206.0,225506.0,225506.0,226006.0
YCR075W-A,YCR075W-A,3,gene,248975,249202,+,Uncharacterized,227,248982,249295.0,False,248682.0,248982.0,248982.0,249482.0
YCR076C,YCR076C,3,gene,249293,250045,-,Uncharacterized,752,250047,249189.0,False,250047.0,250347.0,249547.0,250047.0
YCR087C-A,YCR087C-A,3,gene,264006,264467,-,Uncharacterized,461,264504,263944.0,False,264504.0,264804.0,264004.0,264504.0
YCR090C,YCR090C,3,gene,272315,272863,-,Uncharacterized,548,272892,272249.0,False,272892.0,273192.0,272392.0,272892.0
YCR095W-A,YCR095W-A,3,gene,289639,289797,+,Uncharacterized,158,289502,,False,289202.0,289502.0,289502.0,290002.0
YCR099C,YCR099C,3,gene,300832,301299,-,Uncharacterized,467,301299,,,301299.0,301599.0,300799.0,301299.0
YCR100C,YCR100C,3,gene,301271,302221,-,Uncharacterized,950,302221,,,302221.0,302521.0,301721.0,302221.0
YCR101C,YCR101C,3,gene,302482,303030,-,Uncharacterized,548,303035,,False,303035.0,303335.0,302535.0,303035.0
YCR102C,YCR102C,3,gene,304361,305467,-,Uncharacterized,1106,305538,304097.0,False,305538.0,305838.0,305038.0,305538.0
YCR108C,YCR108C,3,gene,315997,316188,-,Uncharacterized,191,316188,,,316188.0,316488.0,315688.0,316188.0
YDL247W,MPH2,4,gene,5985,7814,+,Verified,1829,5985,,,5685.0,5985.0,5985.0,6485.0
YDL246C,SOR2,4,gene,8683,9756,-,Uncharacterized,1073,9756,,,9756.0,10056.0,9256.0,9756.0
YDL245C,HXT15,4,gene,11657,13360,-,Verified,1703,13360,,,13360.0,13660.0,12860.0,13360.0
YDL244W,THI13,4,gene,16204,17226,+,Verified,1022,15941,,False,15641.0,15941.0,15941.0,16441.0
YDL241W,YDL241W,4,gene,20635,21006,+,Uncharacterized,371,20554,21256.0,False,20254.0,20554.0,20554.0,21054.0
YDL237W,AIM6,4,gene,30657,31829,+,Verified,1172,30626,32013.0,False,30326.0,30626.0,30626.0,31126.0
YDL233W,YDL233W,4,gene,36797,38173,+,Uncharacterized,1376,36775,38351.0,False,36475.0,36775.0,36775.0,37275.0
YDL226C,GCS1,4,gene,51115,52173,-,Verified,1058,52197,50886.0,False,52197.0,52497.0,51697.0,52197.0
YDL218W,YDL218W,4,gene,66493,67446,+,Uncharacterized,953,66493,,,66193.0,66493.0,66493.0,66993.0
YDL211C,YDL211C,4,gene,79294,80412,-,Uncharacterized,1118,80446,79144.0,False,80446.0,80746.0,79946.0,80446.0
YDL206W,YDL206W,4,gene,90176,92464,+,Uncharacterized,2288,90015,92491.0,False,89715.0,90015.0,90015.0,90515.0
YDL199C,YDL199C,4,gene,101290,103353,-,Uncharacterized,2063,103353,,,103353.0,103653.0,102853.0,103353.0
YDL186W,YDL186W,4,gene,125616,126449,+,Uncharacterized,833,125616,,,125316.0,125616.0,125616.0,126116.0
YDL183C,YDL183C,4,gene,130871,131833,-,Verified,962,131908,130732.0,False,131908.0,132208.0,131408.0,131908.0
YDL180W,YDL180W,4,gene,135896,137539,+,Uncharacterized,1643,135771,137584.0,False,135471.0,135771.0,135771.0,136271.0
YDL177C,YDL177C,4,gene,141209,141721,-,Uncharacterized,512,141774,141120.0,False,141774.0,142074.0,141274.0,141774.0
YDL176W,YDL176W,4,gene,142097,144223,+,Verified,2126,141972,144339.0,False,141672.0,141972.0,141972.0,142472.0
YDL168W,SFA1,4,gene,159604,160764,+,Verified,1160,159549,160817.0,False,159249.0,159549.0,159549.0,160049.0
YDL160C-A,YDL160C-A,4,gene,169366,169608,-,Uncharacterized,242,169637,169108.0,False,169637.0,169937.0,169137.0,169637.0
YDL159W-A,YDL159W-A,4,gene,172182,172313,+,Uncharacterized,131,172182,,,171882.0,172182.0,172182.0,172682.0
YDL159W,STE7,4,gene,172481,174028,+,Verified,1547,172436,174225.0,False,172136.0,172436.0,172436.0,172936.0
YDL157C,YDL157C,4,gene,174232,174588,-,Uncharacterized,356,174604,174073.0,False,174604.0,174904.0,174104.0,174604.0
YDL156W,YDL156W,4,gene,174918,176486,+,Uncharacterized,1568,174825,,False,174525.0,174825.0,174825.0,175325.0
YDL153C,SAS10,4,gene,181186,183018,-,Verified,1832,183045,181046.0,False,183045.0,183345.0,182545.0,183045.0
YDL146W,LDB17,4,gene,192750,194225,+,Verified,1475,192568,194285.0,False,192268.0,192568.0,192568.0,193068.0
YDL144C,YDL144C,4,gene,198662,199732,-,Uncharacterized,1070,199743,198571.0,False,199743.0,200043.0,199243.0,199743.0
YDL133W,YDL133W,4,gene,222427,223740,+,Uncharacterized,1313,222293,223782.0,False,221993.0,222293.0,222293.0,222793.0
YDL129W,YDL129W,4,gene,231024,231899,+,Uncharacterized,875,230873,,False,230573.0,230873.0,230873.0,231373.0
YDL125C,HNT1,4,gene,239019,239606,-,Verified,587,239599,238907.0,False,239599.0,239899.0,239099.0,239599.0
YDL124W,YDL124W,4,gene,240259,241197,+,Verified,938,240215,241270.0,False,239915.0,240215.0,240215.0,240715.0
YDL121C,YDL121C,4,gene,245133,245582,-,Uncharacterized,449,245594,244934.0,False,245594.0,245894.0,245094.0,245594.0
YDL119C,YDL119C,4,gene,246689,247612,-,Uncharacterized,923,247612,,,247612.0,247912.0,247112.0,247612.0
YDL118W,YDL118W,4,gene,247302,247682,+,Uncharacterized,380,247302,,,247002.0,247302.0,247302.0,247802.0
YDL114W,YDL114W,4,gene,255604,256530,+,Uncharacterized,926,255604,,,255304.0,255604.0,255604.0,256104.0
YDL109C,YDL109C,4,gene,265258,267201,-,Uncharacterized,1943,267201,,,267201.0,267501.0,266701.0,267201.0
YDL086W,YDL086W,4,gene,301413,302234,+,Uncharacterized,821,301409,302302.0,False,301109.0,301409.0,301409.0,301909.0
YDL085C-A,YDL085C-A,4,gene,302464,302670,-,Uncharacterized,206,302730,302224.0,False,302730.0,303030.0,302230.0,302730.0
YDL073W,YDL073W,4,gene,326613,329567,+,Uncharacterized,2954,326434,329624.0,False,326134.0,326434.0,326434.0,326934.0
YDL063C,YDL063C,4,gene,338272,340134,-,Verified,1862,340203,338129.0,False,340203.0,340503.0,339703.0,340203.0
YDL057W,YDL057W,4,gene,351434,352420,+,Uncharacterized,986,351388,352462.0,False,351088.0,351388.0,351388.0,351888.0
YDL027C,YDL027C,4,gene,403695,404957,-,Uncharacterized,1262,405004,403688.0,False,405004.0,405304.0,404504.0,405004.0
YDL012C,YDL012C,4,gene,431108,431517,-,Verified,409,431535,430945.0,False,431535.0,431835.0,431035.0,431535.0
YDL007C-A,YDL007C-A,4,gene,436567,436824,-,Uncharacterized,257,436824,,,436824.0,437124.0,436324.0,436824.0
YDR003W-A,YDR003W-A,4,gene,454782,454904,+,Uncharacterized,122,454782,,,454482.0,454782.0,454782.0,455282.0
YDR018C,YDR018C,4,gene,482670,483860,-,Uncharacterized,1190,483929,,False,483929.0,484229.0,483429.0,483929.0
YDR026C,YDR026C,4,gene,492556,494268,-,Verified,1712,494412,492506.0,False,494412.0,494712.0,493912.0,494412.0
YDR034C-A,YDR034C-A,4,gene,520516,520692,-,Uncharacterized,176,520907,,False,520907.0,521207.0,520407.0,520907.0
YDR034W-B,YDR034W-B,4,gene,521314,521469,+,Uncharacterized,155,521275,521762.0,False,520975.0,521275.0,521275.0,521775.0
YDR038C,ENA5,4,gene,527422,530697,-,Verified,3275,530805,527280.0,False,530805.0,531105.0,530305.0,530805.0
YDR039C,ENA2,4,gene,531307,534582,-,Verified,3275,534679,531189.0,False,534679.0,534979.0,534179.0,534679.0
YDR042C,YDR042C,4,gene,540601,541203,-,Uncharacterized,602,541279,540493.0,False,541279.0,541579.0,540779.0,541279.0
YDR056C,YDR056C,4,gene,565023,565640,-,Uncharacterized,617,565699,564920.0,False,565699.0,565999.0,565199.0,565699.0
YDR061W,YDR061W,4,gene,574164,575783,+,Uncharacterized,1619,574164,,,573864.0,574164.0,574164.0,574664.0
YDR089W,YDR089W,4,gene,622112,624721,+,Uncharacterized,2609,621992,624895.0,False,621692.0,621992.0,621992.0,622492.0
YDR090C,YDR090C,4,gene,625066,625998,-,Uncharacterized,932,626113,624730.0,False,626113.0,626413.0,625613.0,626113.0
YDR109C,YDR109C,4,gene,673520,675667,-,Uncharacterized,2147,675659,673373.0,False,675659.0,675959.0,675159.0,675659.0
YDR114C,YDR114C,4,gene,681924,682226,-,Uncharacterized,302,682226,,,682226.0,682526.0,681726.0,682226.0
YDR115W,YDR115W,4,gene,682175,682492,+,Uncharacterized,317,682136,682715.0,False,681836.0,682136.0,682136.0,682636.0
YDR119W-A,YDR119W-A,4,gene,691014,691214,+,Uncharacterized,200,690986,691460.0,False,690686.0,690986.0,690986.0,691486.0
YDR124W,YDR124W,4,gene,700315,701289,+,Uncharacterized,974,699861,701545.0,False,699561.0,699861.0,699861.0,700361.0
YDR131C,YDR131C,4,gene,716790,718460,-,Uncharacterized,1670,718563,716689.0,False,718563.0,718863.0,718063.0,718563.0
YDR132C,YDR132C,4,gene,718816,720303,-,Uncharacterized,1487,720425,718780.0,False,720425.0,720725.0,719925.0,720425.0
YDR161W,YDR161W,4,gene,779043,780206,+,Uncharacterized,1163,779017,780429.0,False,778717.0,779017.0,779017.0,779517.0
YDR169C-A,YDR169C-A,4,gene,794574,794723,-,Uncharacterized,149,794723,,,794723.0,795023.0,794223.0,794723.0
YDR179W-A,YDR179W-A,4,gene,819433,820824,+,Uncharacterized,1391,819341,820914.0,False,819041.0,819341.0,819341.0,819841.0
YDR182W-A,YDR182W-A,4,gene,829151,829354,+,Uncharacterized,203,829151,,,828851.0,829151.0,829151.0,829651.0
YDR186C,YDR186C,4,gene,832859,835492,-,Verified,2633,835685,832743.0,False,835685.0,835985.0,835185.0,835685.0
YDR194W-A,YDR194W-A,4,gene,848071,848223,+,Uncharacterized,152,848120,848558.0,False,847820.0,848120.0,848120.0,848620.0
YDR210W,YDR210W,4,gene,871074,871301,+,Uncharacterized,227,871043,871480.0,False,870743.0,871043.0,871043.0,871543.0
YDR222W,YDR222W,4,gene,910054,911301,+,Uncharacterized,1247,910019,911466.0,False,909719.0,910019.0,910019.0,910519.0
YDR238C,SEC26,4,gene,937895,940816,-,Verified,2921,940850,937700.0,False,940850.0,941150.0,940350.0,940850.0
YDR239C,YDR239C,4,gene,941057,943420,-,Verified,2363,943430,940999.0,False,943430.0,943730.0,942930.0,943430.0
YDR246W-A,YDR246W-A,4,gene,955133,955333,+,Uncharacterized,200,955133,,,954833.0,955133.0,955133.0,955633.0
YDR248C,YDR248C,4,gene,957758,958339,-,Uncharacterized,581,958398,957658.0,False,958398.0,958698.0,957898.0,958398.0
YDR249C,YDR249C,4,gene,958681,959802,-,Uncharacterized,1121,960118,958568.0,False,960118.0,960418.0,959618.0,960118.0
YDR257C,RKM4,4,gene,969990,971474,-,Verified,1484,971479,969687.0,False,971479.0,971779.0,970979.0,971479.0
YDR262W,YDR262W,4,gene,993134,993952,+,Uncharacterized,818,993124,994149.0,False,992824.0,993124.0,993124.0,993624.0
YDR266C,YDR266C,4,gene,1000104,1002023,-,Verified,1919,1002226,999965.0,False,1002226.0,1002526.0,1001726.0,1002226.0
YDR282C,YDR282C,4,gene,1023511,1024755,-,Uncharacterized,1244,1024763,1023312.0,False,1024763.0,1025063.0,1024263.0,1024763.0
YDR286C,YDR286C,4,gene,1035231,1035575,-,Uncharacterized,344,1035806,1035140.0,False,1035806.0,1036106.0,1035306.0,1035806.0
YDR301W,CFT1,4,gene,1063352,1067425,+,Verified,4073,1063278,1067560.0,False,1062978.0,1063278.0,1063278.0,1063778.0
YDR306C,YDR306C,4,gene,1073735,1075171,-,Uncharacterized,1436,1075224,1073717.0,False,1075224.0,1075524.0,1074724.0,1075224.0
YDR307W,YDR307W,4,gene,1075865,1077853,+,Uncharacterized,1988,1075807,1077861.0,False,1075507.0,1075807.0,1075807.0,1076307.0
YDR315C,IPK1,4,gene,1092741,1093586,-,Verified,845,1093588,1092669.0,False,1093588.0,1093888.0,1093088.0,1093588.0
YDR319C,YDR319C,4,gene,1105003,1105827,-,Uncharacterized,824,1105875,1104930.0,False,1105875.0,1106175.0,1105375.0,1105875.0
YDR321W,ASP1,4,gene,1108702,1109847,+,Verified,1145,1108672,1109999.0,False,1108372.0,1108672.0,1108672.0,1109172.0
YDR333C,YDR333C,4,gene,1133260,1135431,-,Uncharacterized,2171,1135436,1133038.0,False,1135436.0,1135736.0,1134936.0,1135436.0
YDR336W,YDR336W,4,gene,1145092,1146036,+,Uncharacterized,944,1145254,1146131.0,False,1144954.0,1145254.0,1145254.0,1145754.0
YDR338C,YDR338C,4,gene,1147379,1149466,-,Uncharacterized,2087,1149526,1147256.0,False,1149526.0,1149826.0,1149026.0,1149526.0
YDR341C,YDR341C,4,gene,1151803,1153626,-,Verified,1823,1153663,1151640.0,False,1153663.0,1153963.0,1153163.0,1153663.0
YDR348C,YDR348C,4,gene,1170326,1171825,-,Uncharacterized,1499,1172025,1170147.0,False,1172025.0,1172325.0,1171525.0,1172025.0
YDR352W,YDR352W,4,gene,1181801,1182754,+,Uncharacterized,953,1181624,1182984.0,False,1181324.0,1181624.0,1181624.0,1182124.0
YDR363W,ESC2,4,gene,1199183,1200553,+,Verified,1370,1199035,1200722.0,False,1198735.0,1199035.0,1199035.0,1199535.0
YDR366C,YDR366C,4,gene,1212438,1212836,-,Uncharacterized,398,1212900,1212245.0,False,1212900.0,1213200.0,1212400.0,1212900.0
